trial,balanced_beta_0,balanced_beta_0.25,balanced_beta_0.5,balanced_beta_1,balanced_beta_2,balanced_beta_4,balanced_beta_8,center_hits,center_success
0,2.938735877055719e-39,3.193286859089016e-39,3.205585820536225e-39,2.5464593033550634e-39,6.2424969528026164e-40,1.001245676937191e-42,1.661451651398649e-53,0,2.8040810819746297e-39
1,2.938735877055719e-39,4.934732798775485e-39,7.688237909694991e-39,1.4910311127723538e-38,2.3049044575509933e-38,1.8335038530769776e-39,1.2999165064116882e-46,0,2.8040810819746297e-39
2,2.938735877055719e-39,5.687313439950702e-39,1.0194464860939016e-38,2.603343107488485e-38,6.834677449716967e-38,1.4693151277895966e-38,7.498478207885893e-45,1,1.1224547439575863e-38
3,2.938735877055719e-39,3.4380041372093165e-39,3.7095640687374286e-39,3.3850159399633655e-39,1.0652291025872426e-39,2.4591597822307476e-42,5.042376141209691e-53,0,2.8040810819746297e-39
4,2.938735877055719e-39,4.396417628031374e-39,6.085644785509148e-39,9.24504224218605e-39,8.535877650652251e-39,2.2426580708940676e-40,1.552118516398503e-48,0,2.8040810819746297e-39
5,2.938735877055719e-39,2.9536960457151357e-39,2.74217700980524e-39,1.8633205138981974e-39,3.3551031720567665e-40,2.9927224481427242e-43,1.6457781422551195e-54,0,2.8040810819746297e-39
