independent_success,pair_success,matching_success,minimum_smc_ess,minimum_smc_unique,smc_acceptance,trial
4.725891886186231e-08,1.3867678165950728e-07,2.49365322130422e-07,0.8286110475754802,0.78125,0.6057327578059525,0
7.77776634007769e-08,1.0686377268215014e-07,5.931568503046126e-08,0.8510757398753895,0.75,0.6120434150210727,1
6.650783645824644e-08,9.044118966781426e-08,1.463968504521951e-07,0.8501351603281133,0.71875,0.6063245899027383,2
1.0489956094208444e-07,1.833890185481616e-07,2.0071530161317042e-07,0.825,0.796875,0.6165368515846421,3
