trial,selector,candidate_scores,merge_entries,rounds,optimistic_work,recovered_planted,solution_count_lower_bound
0,uniform,2048,459668,229834,461716,1,1
0,pair,2048,7782,3891,9830,1,1
0,exact,2048,3199,1600,5247,1,1
1,uniform,2048,327071,163536,329119,1,1
1,pair,2048,41506,20753,43554,1,1
1,exact,2048,23522,11761,25570,1,1
2,uniform,2048,319492,159746,321540,1,1
2,pair,2048,25371,12686,27419,1,1
2,exact,2048,12045,6023,14093,1,1
3,uniform,2048,406020,203010,408068,1,1
3,pair,2048,50140,25070,52188,1,1
3,exact,2048,11614,5807,13662,1,1
4,uniform,2048,411697,205849,413745,1,1
4,pair,2048,326189,163095,328237,1,1
4,exact,2048,274065,137033,276113,1,1
5,uniform,2048,214454,107227,216502,1,1
5,pair,2048,46140,23070,48188,1,1
5,exact,2048,18534,9267,20582,1,1
6,uniform,2048,440376,220188,442424,1,1
6,pair,2048,31631,15816,33679,1,1
6,exact,2048,2075,1038,4123,1,1
7,uniform,2048,395632,197816,397680,1,1
7,pair,2048,31276,15638,33324,1,1
7,exact,2048,213779,106890,215827,1,1
8,uniform,2048,458213,229107,460261,1,1
8,pair,2048,103996,51998,106044,1,1
8,exact,2048,25402,12701,27450,1,1
9,uniform,2048,306946,153473,308994,1,1
9,pair,2048,47373,23687,49421,1,1
9,exact,2048,49225,24613,51273,1,1
10,uniform,2048,263855,131928,265903,1,1
10,pair,2048,173915,86958,175963,1,1
10,exact,2048,121865,60933,123913,1,1
11,uniform,2048,361452,180726,363500,1,1
11,pair,2048,258773,129387,260821,1,1
11,exact,2048,186903,93452,188951,1,1
12,uniform,2048,404611,202306,406659,1,1
12,pair,2048,229603,114802,231651,1,1
12,exact,2048,101303,50652,103351,1,1
13,uniform,2048,333440,166720,335488,1,1
13,pair,2048,49358,24679,51406,1,1
13,exact,2048,12442,6221,14490,1,1
14,uniform,2048,348423,174212,350471,1,1
14,pair,2048,38110,19055,40158,1,1
14,exact,2048,12406,6203,14454,1,1
15,uniform,2048,513887,256944,515935,1,1
15,pair,2048,301838,150919,303886,1,1
15,exact,2048,260436,130218,262484,1,1
