trial,selector,projection_width,buckets_visited,candidate_scores,leakage_factor_evaluations,mass_convolution_terms,pair_entries_materialized,charged_work,recovered_planted
10,uniform_projected,1,7,1024,0,0,54292,55316,1
10,exact_projected,1,4,1024,16384,323,30730,48461,1
10,uniform_flat,1,0,1024,0,0,77691,78715,1
10,exact_flat,1,0,1024,16384,0,43169,60577,1
11,uniform_projected,1,14,1024,0,0,109529,110553,1
11,exact_projected,1,2,1024,16384,323,18245,35976,1
11,uniform_flat,1,0,1024,0,0,33070,34094,1
11,exact_flat,1,0,1024,16384,0,73240,90648,1
12,uniform_projected,1,13,1024,0,0,99930,100954,1
12,exact_projected,1,12,1024,16384,323,94324,112055,1
12,uniform_flat,1,0,1024,0,0,74502,75526,1
12,exact_flat,1,0,1024,16384,0,52815,70223,1
13,uniform_projected,1,17,1024,0,0,131072,132096,1
13,exact_projected,1,4,1024,16384,323,35519,53250,1
13,uniform_flat,1,0,1024,0,0,117820,118844,1
13,exact_flat,1,0,1024,16384,0,69429,86837,1
14,uniform_projected,1,14,1024,0,0,108712,109736,1
14,exact_projected,1,7,1024,16384,323,59221,76952,1
14,uniform_flat,1,0,1024,0,0,125982,127006,1
14,exact_flat,1,0,1024,16384,0,27855,45263,1
15,uniform_projected,1,7,1024,0,0,56094,57118,1
15,exact_projected,1,16,1024,16384,323,125086,142817,1
15,uniform_flat,1,0,1024,0,0,65162,66186,1
15,exact_flat,1,0,1024,16384,0,51042,68450,1
16,uniform_projected,1,14,1024,0,0,109070,110094,1
16,exact_projected,1,16,1024,16384,323,124852,142583,1
16,uniform_flat,1,0,1024,0,0,128291,129315,1
16,exact_flat,1,0,1024,16384,0,86229,103637,1
17,uniform_projected,1,15,1024,0,0,114272,115296,1
17,exact_projected,1,4,1024,16384,323,32767,50498,1
17,uniform_flat,1,0,1024,0,0,39391,40415,1
17,exact_flat,1,0,1024,16384,0,16148,33556,1
18,uniform_projected,1,13,1024,0,0,101664,102688,1
18,exact_projected,1,6,1024,16384,323,51519,69250,1
18,uniform_flat,1,0,1024,0,0,101794,102818,1
18,exact_flat,1,0,1024,16384,0,36582,53990,1
19,uniform_projected,1,15,1024,0,0,116774,117798,1
19,exact_projected,1,4,1024,16384,323,34840,52571,1
19,uniform_flat,1,0,1024,0,0,127200,128224,1
19,exact_flat,1,0,1024,16384,0,12739,30147,1
20,uniform_projected,1,4,1024,0,0,34797,35821,1
20,exact_projected,1,3,1024,16384,323,27325,45056,1
20,uniform_flat,1,0,1024,0,0,76364,77388,1
20,exact_flat,1,0,1024,16384,0,67026,84434,1
21,uniform_projected,1,1,1024,0,0,7357,8381,1
21,exact_projected,1,16,1024,16384,323,123714,141445,1
21,uniform_flat,1,0,1024,0,0,125296,126320,1
21,exact_flat,1,0,1024,16384,0,63493,80901,1
22,uniform_projected,1,17,1024,0,0,131072,132096,1
22,exact_projected,1,5,1024,16384,323,39960,57691,1
22,uniform_flat,1,0,1024,0,0,80107,81131,1
22,exact_flat,1,0,1024,16384,0,73463,90871,1
23,uniform_projected,1,13,1024,0,0,99010,100034,1
23,exact_projected,1,5,1024,16384,323,39888,57619,1
23,uniform_flat,1,0,1024,0,0,94660,95684,1
23,exact_flat,1,0,1024,16384,0,28927,46335,1
24,uniform_projected,1,11,1024,0,0,84402,85426,1
24,exact_projected,1,1,1024,16384,323,9690,27421,1
24,uniform_flat,1,0,1024,0,0,83217,84241,1
24,exact_flat,1,0,1024,16384,0,23269,40677,1
25,uniform_projected,1,5,1024,0,0,38350,39374,1
25,exact_projected,1,17,1024,16384,323,131072,148803,1
25,uniform_flat,1,0,1024,0,0,96346,97370,1
25,exact_flat,1,0,1024,16384,0,49421,66829,1
26,uniform_projected,1,8,1024,0,0,63120,64144,1
26,exact_projected,1,6,1024,16384,323,48240,65971,1
26,uniform_flat,1,0,1024,0,0,70779,71803,1
26,exact_flat,1,0,1024,16384,0,32328,49736,1
27,uniform_projected,1,9,1024,0,0,68534,69558,1
27,exact_projected,1,17,1024,16384,323,131072,148803,1
27,uniform_flat,1,0,1024,0,0,94213,95237,1
27,exact_flat,1,0,1024,16384,0,19428,36836,1
28,uniform_projected,1,13,1024,0,0,99855,100879,1
28,exact_projected,1,11,1024,16384,323,88653,106384,1
28,uniform_flat,1,0,1024,0,0,75575,76599,1
28,exact_flat,1,0,1024,16384,0,88274,105682,1
29,uniform_projected,1,5,1024,0,0,37850,38874,1
29,exact_projected,1,4,1024,16384,323,33698,51429,1
29,uniform_flat,1,0,1024,0,0,100848,101872,1
29,exact_flat,1,0,1024,16384,0,42164,59572,1
30,uniform_projected,1,1,1024,0,0,8771,9795,1
30,exact_projected,1,5,1024,16384,323,41843,59574,1
30,uniform_flat,1,0,1024,0,0,52386,53410,1
30,exact_flat,1,0,1024,16384,0,21323,38731,1
31,uniform_projected,1,9,1024,0,0,68924,69948,1
31,exact_projected,1,7,1024,16384,323,57944,75675,1
31,uniform_flat,1,0,1024,0,0,73490,74514,1
31,exact_flat,1,0,1024,16384,0,28713,46121,1
