trial,selector,projection_width,buckets_visited,candidate_scores,leakage_factor_evaluations,mass_convolution_terms,pair_entries_materialized,charged_work,recovered_planted
0,uniform_projected,1,2,1024,0,0,15601,16625,1
0,exact_projected,1,5,1024,16384,323,41317,59048,1
0,uniform_flat,1,0,1024,0,0,119418,120442,1
0,exact_flat,1,0,1024,16384,0,80121,97529,1
1,uniform_projected,1,12,1024,0,0,92434,93458,1
1,exact_projected,1,6,1024,16384,323,47055,64786,1
1,uniform_flat,1,0,1024,0,0,45515,46539,1
1,exact_flat,1,0,1024,16384,0,55649,73057,1
2,uniform_projected,1,1,1024,0,0,7073,8097,1
2,exact_projected,1,16,1024,16384,323,123777,141508,1
2,uniform_flat,1,0,1024,0,0,72547,73571,1
2,exact_flat,1,0,1024,16384,0,78626,96034,1
3,uniform_projected,1,11,1024,0,0,90118,91142,1
3,exact_projected,1,3,1024,16384,321,31966,49695,1
3,uniform_flat,1,0,1024,0,0,23208,24232,1
3,exact_flat,1,0,1024,16384,0,66530,83938,1
4,uniform_projected,1,8,1024,0,0,60550,61574,1
4,exact_projected,1,6,1024,16384,323,48379,66110,1
4,uniform_flat,1,0,1024,0,0,115623,116647,1
4,exact_flat,1,0,1024,16384,0,40318,57726,1
5,uniform_projected,1,15,1024,0,0,115449,116473,1
5,exact_projected,1,7,1024,16384,323,56776,74507,1
5,uniform_flat,1,0,1024,0,0,96474,97498,1
5,exact_flat,1,0,1024,16384,0,1070,18478,1
6,uniform_projected,1,4,1024,0,0,30186,31210,1
6,exact_projected,1,5,1024,16384,323,49260,66991,1
6,uniform_flat,1,0,1024,0,0,109426,110450,1
6,exact_flat,1,0,1024,16384,0,45228,62636,1
7,uniform_projected,1,5,1024,0,0,38189,39213,1
7,exact_projected,1,16,1024,16384,323,123972,141703,1
7,uniform_flat,1,0,1024,0,0,75333,76357,1
7,exact_flat,1,0,1024,16384,0,10128,27536,1
8,uniform_projected,1,16,1024,0,0,122796,123820,1
8,exact_projected,1,4,1024,16384,323,34246,51977,1
8,uniform_flat,1,0,1024,0,0,60692,61716,1
8,exact_flat,1,0,1024,16384,0,7444,24852,1
9,uniform_projected,1,10,1024,0,0,78327,79351,1
9,exact_projected,1,8,1024,16384,323,68613,86344,1
9,uniform_flat,1,0,1024,0,0,89157,90181,1
9,exact_flat,1,0,1024,16384,0,28003,45411,1
