trial,balanced_beta_0,balanced_beta_0.25,balanced_beta_0.5,balanced_beta_1,balanced_beta_2,balanced_beta_4,balanced_beta_8,center_hits,center_success
0,2.3283064365386963e-10,2.485478407232329e-10,2.6365410083644155e-10,2.911095587974561e-10,3.2909664079260204e-10,3.124749803599193e-10,9.210279217453541e-11,0,2.3101808000996357e-10
1,2.3283064365386963e-10,2.3465538880568415e-10,2.3496631377798715e-10,2.310572964668331e-10,2.0680037352746516e-10,1.222183977246177e-10,1.3670552118622941e-11,0,2.3101808000996357e-10
2,2.3283064365386963e-10,2.200021882927255e-10,2.0648744284897986e-10,1.782688968940508e-10,1.2262321591728417e-10,4.229403250014893e-11,1.5312258012969606e-12,0,2.3101808000996357e-10
3,2.3283064365386963e-10,2.438209756433668e-10,2.5371092649929333e-10,2.6952250920036944e-10,2.819074964396769e-10,2.2857926779152719e-10,4.8434784373073413e-11,0,2.3101808000996357e-10
4,2.3283064365386963e-10,2.4297109198861357e-10,2.5186083662642113e-10,2.652511257349503e-10,2.7160323633010876e-10,2.0793299787559797e-10,3.7460188451561074e-11,0,2.3101808000996357e-10
5,2.3283064365386963e-10,2.2715093283856803e-10,2.2037615961826134e-10,2.0398516311561092e-10,1.634939716173922e-10,8.072773945421839e-11,7.2531320214651795e-12,0,2.3101808000996357e-10
6,2.3283064365386963e-10,2.1963105843412338e-10,2.0581712670633325e-10,1.7720226830514293e-10,1.2140608337077044e-10,4.1808093763689014e-11,1.5523634470113834e-12,0,2.3101808000996357e-10
7,2.3283064365386963e-10,2.0578081121719022e-10,1.8069318735061525e-10,1.366285440455584e-10,7.227427271172242e-11,1.4894596087141297e-11,2.0053601286900022e-13,0,2.3101808000996357e-10
8,2.3283064365386963e-10,2.3963887095162543e-10,2.4476136477645405e-10,2.4953593231759905e-10,2.366967257694531e-10,1.4879425737916187e-10,1.5574731512494084e-11,0,2.3101808000996357e-10
9,2.3283064365386963e-10,2.3860930721636616e-10,2.429915581979589e-10,2.472734251587823e-10,2.3746417115953764e-10,1.627513626039742e-10,2.5041173904414063e-11,0,2.3101808000996357e-10
10,2.3283064365386963e-10,2.5419142960742343e-10,2.758742731207725e-10,3.192326161848084e-10,3.982756023176703e-10,4.689108433494498e-10,2.2508992545110026e-10,0,2.3101808000996357e-10
11,2.3283064365386963e-10,2.4832565898341577e-10,2.63186719722089e-10,2.900948463433265e-10,3.268773195687114e-10,3.0849400503449384e-10,8.983141277691051e-11,0,2.3101808000996357e-10
12,2.3283064365386963e-10,2.5347891136989375e-10,2.7406615338135907e-10,3.138540708634956e-10,3.7913732927925436e-10,4.0038699466021463e-10,1.3230880791079743e-10,0,2.3101808000996357e-10
13,2.3283064365386963e-10,2.5950824991456204e-10,2.8737249234384107e-10,3.456154441178076e-10,4.6269085925428746e-10,6.120848211375673e-10,3.454216031317666e-10,0,2.3101808000996357e-10
14,2.3283064365386963e-10,2.436574518093076e-10,2.535099830818151e-10,2.6968704301013054e-10,2.8472761995670315e-10,2.41290151372998e-10,6.122960009488072e-11,0,2.3101808000996357e-10
15,2.3283064365386963e-10,2.37325026364087e-10,2.403824895536879e-10,2.4199064046771234e-10,2.2742594345512897e-10,1.493233948736236e-10,2.1167762876315703e-11,0,2.3101808000996357e-10
