trial,independent_success,sequential_success,independent_log_gain,sequential_log_gain
0,4.725891886186231e-08,1.2897612041276258e-07,-0.33483813381741356,1.113607314994038
1,7.77776634007769e-08,1.1273340698310324e-07,0.38393113483049746,0.9194184373414274
2,6.650783645824644e-08,9.48882157812188e-08,0.15809958081368336,0.6708041701955736
3,1.0489956094208444e-07,1.792173224382256e-07,0.8155119753051387,1.588213425125499
4,4.940109743425127e-08,8.41766231789248e-08,-0.27088166778760936,0.49799487672957454
5,8.297645550026274e-08,1.254817369943998e-07,0.47727727191867686,1.0739807408816446
6,5.171243620933511e-08,7.813708536418999e-08,-0.2049134862958759,0.3905826826390495
7,2.2978565541123572e-07,3.113096832720497e-07,1.9467920749691459,2.384853788250215
8,3.285887820223329e-08,4.535820456332851e-08,-0.8591415313885378,-0.39406122461345205
9,6.736505384083591e-08,8.308884350435274e-08,0.17657561679958178,0.4792300175179385
10,1.0873713753532634e-07,9.565737337587357e-08,0.8673480911270097,0.6824514182839927
11,1.5478280746569454e-07,1.9149550329993953e-07,1.3767485685016432,1.6838138509515161
12,1.195199994204429e-07,1.1594334124273865e-07,1.003755382032569,0.9599233025431282
13,7.313019432724567e-08,1.2056021774915412e-07,0.2950424365735884,1.0162572635546638
14,1.2865812650358297e-07,2.561050934773879e-07,1.1100459214738123,2.1032392816621304
15,2.996459829744163e-07,6.29749288527871e-07,2.329762369193773,3.401280922834694
16,4.480245119645385e-08,7.779181278256558e-08,-0.41184709306093126,0.38419356732683596
17,2.0005001440280251e-07,2.890476334065318e-07,1.7468640683402654,2.2778105960462547
18,1.687218639513624e-07,2.1270037073769556e-07,1.5011502742648837,1.8353258837131357
19,7.189550134577604e-08,1.627632101898593e-07,0.2704767418968608,1.4492779759656997
20,1.1201958679174142e-07,1.4783260428834877e-07,0.910254347506271,1.31046782487768
21,3.460847682840556e-08,6.944683622131865e-08,-0.7842993113968113,0.22048421197196433
22,2.8234876047759924e-08,3.8133737797796366e-08,-1.077946461254978,-0.6443568108291409
23,6.876079789575061e-08,1.2243927000813049e-07,0.2061615267520338,1.0385696843384515
24,4.174026104103267e-08,6.111063496589895e-08,-0.5139851360466317,0.035998712228700214
25,8.895014873059066e-08,1.0956468832620305e-07,0.5775722586780354,0.8782862418864106
26,3.3355068527148525e-08,4.7029036941016575e-08,-0.837518753809757,-0.3418729700594021
27,5.060756468336587e-08,1.0911165283644545e-07,-0.2360717078655874,0.8723085216993773
28,1.0659348115639504e-07,1.5935003365043043e-07,0.8386225469539106,1.4187026595625554
29,1.4237473203141747e-07,2.6871992177944704e-07,1.2561964623763977,2.1726066165255347
30,4.11055978832341e-08,7.320929877469824e-08,-0.5360898812881238,0.29660214684384556
31,1.3186848381167425e-07,1.8519058318255146e-07,1.1456031416094383,1.635514076172587
