t,w,d,c,policy,schedule,evictions,trials,failures,failure_rate,failure_log2,failure_ci95_low,failure_ci95_high,exact_waterfall_failure,exact_waterfall_failure_log2,batch_failure_log2,batch_ci95_high_log2,mean_unplaced,p95_unplaced,output_columns,local_expansion_N,bin_solver_calls,index_bits,waterfall_pair_tests,main_one_hot_bits,repair_steps,repair_scan_units,rough_repair_index_bit_ops,optimized_repair_scan_units,rough_optimized_repair_index_bit_ops
16,3,6,1,oracle,none,0,50000,688,0.01376,-6.1833757197347134,0.01277562166777847,0.014819087429862052,0.5155499940412143,-0.9558157591308301,0.0,0.0,0.11814,1,19,4,3,3,360,288,0,0,0,0,0
16,3,6,2,waterfall,none,0,50000,7172,0.14344,-2.801480701568437,0.14039499250305076,0.14653979171020753,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.58056,3,20,5,3,3,360,288,0,0,0,0,0
16,3,6,2,biased,global,2,50000,3569,0.07138,-3.808336288387789,0.06915609238432761,0.07366976359920042,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.49722,3,20,5,3,3,360,288,2,96,576,48,288
16,3,6,2,uniform,global,2,50000,4792,0.09584,-3.383228281648026,0.09329072694214566,0.09845137084681121,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.5256,3,20,5,3,3,360,288,2,96,576,48,288
16,3,6,2,biased,global,4,50000,1835,0.0367,-4.768076126706236,0.03508719649744374,0.03838398794837902,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.45872,2,20,5,3,3,360,288,4,192,1152,192,1152
16,3,6,2,uniform,global,4,50000,2216,0.04432,-4.495898308387623,0.042550808414926596,0.04615920524419819,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.4671,2,20,5,3,3,360,288,4,192,1152,192,1152
16,3,6,2,biased,global,8,50000,721,0.01442,-6.115785025195989,0.013411737570661322,0.015502870120257332,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.43414,2,20,5,3,3,360,288,8,384,2304,384,2304
16,3,6,2,uniform,global,8,50000,782,0.01564,-5.998615677129459,0.014589042445392547,0.016765377796737195,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.4354,2,20,5,3,3,360,288,8,384,2304,384,2304
16,3,6,2,biased,global,16,50000,269,0.00538,-7.538178111880187,0.004775713745881749,0.0060602829098334475,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.42434,2,20,5,3,3,360,288,16,768,4608,768,4608
16,3,6,2,uniform,global,16,50000,295,0.0059,-7.405069330187608,0.005265631124710211,0.006610285634799875,0.1419256167021533,-2.8167930843916746,0.0,0.0,1.42492,2,20,5,3,3,360,288,16,768,4608,768,4608
