trial,balanced_beta_0,balanced_beta_0.25,balanced_beta_0.5,balanced_beta_1,balanced_beta_2,balanced_beta_4,balanced_beta_8,center_hits,center_success
0,2.938735877055719e-39,2.1821411423120078e-35,3.140129347680571e-33,2.8607119897081217e-33,2.67049037375405e-44,9.933542314996393e-81,4.1216473863291196e-160,0,2.5929497597561806e-39
1,2.938735877055719e-39,1.905644308578658e-36,2.368485551085448e-35,1.490330115385396e-37,4.6527159703889675e-53,1.6197701272435245e-98,9.570012633520202e-196,0,2.5929497597561806e-39
2,2.938735877055719e-39,3.273528684510987e-36,6.226340887914829e-35,7.3131109972769706e-37,6.168406867829249e-52,1.9116440910592176e-96,1.2573847166364175e-191,0,2.5929497597561806e-39
3,2.938735877055719e-39,1.493266867097067e-36,8.553620649636607e-36,5.0466372467833146e-39,7.241718721825457e-57,1.3108137857408564e-106,5.565844783693058e-212,1,5.1909737851870314e-39
4,2.938735877055719e-39,1.8096870347044813e-36,1.7971397206282948e-35,5.30558063467707e-38,2.99576547317118e-54,5.1759418019756356e-101,9.678839867040338e-201,0,2.5929497597561806e-39
5,2.938735877055719e-39,3.103836289151648e-37,5.779886383808858e-37,7.39458262216937e-41,1.1960602530951618e-59,1.7712996922455706e-111,1.34678420102576e-221,0,2.5929497597561806e-39
