name,selector,t,d,K,kl_bits_per_list,tv_per_list,pair_chernoff_per_list,search_gain_bits,cost_ratio,debias_ots,total_ots
raw,raw,20,20,1,1.3513532658575285,0.5333611794736886,0.81382300210405,264.88368531133614,1.0,0,6357760
exact-K2,inverse-Z,20,20,2,0.8387130112697365,0.4387927271152115,0.5567578091884245,182.22460603532141,3.0101671028790014,12780160,19137920
occupancy-K2,inverse-E[Z|D],20,20,2,0.8897441011014602,0.4499862329519768,0.5828806952397332,190.6291196769776,1.3995369438292733,2540160,8897920
moments-K2,"inverse-E[Z|D,C2]",20,20,2,0.8798126765467997,0.44779196126446297,0.5780033732878039,189.06246118015306,1.3995369438292733,2540160,8897920
exact-K4,inverse-Z,20,20,4,0.5376037668082798,0.3491657217306808,0.3770980476861503,124.36732936062607,5.045298973223273,25719040,32076800
occupancy-K4,inverse-E[Z|D],20,20,4,0.6422064065629598,0.38125715440050145,0.4321664365173512,142.13813552312988,1.8240386551238172,5239040,11596800
moments-K4,"inverse-E[Z|D,C2]",20,20,4,0.6268325805895021,0.3762026213120094,0.42471235070923424,139.7311526879185,1.8240386551238172,5239040,11596800
feasible-limit,U|Z>0,20,20,0,0.10306634917941822,0.06894800000001247,0.10306634917962353,32.981231737479526,1.0,0,6357760
