w,n,d,batch,trials,seed,kl_bits,kl_stderr,tv,pair_rank_bits,pair_rank_stderr,midpoint_info_variance,batch_pair_rank_bits,batch_search_gain_bits
2,16,16,256,1048576,316,1.0507045422077574,0.0014274509724697679,0.47614659594392533,0.6341592034023662,0.0019037675453208607,3.0739017636126666,167.45930664497229,166.45930664497229
2,16,32,256,1048576,332,0.43049454150577882,0.00099311674254049529,0.30868044694202235,0.23559598499182818,0.0011895380633901744,1.3446446086337664,64.840114287273593,63.840114287273593
2,16,64,256,1048576,364,0.19953511718679862,0.00069188826432613865,0.20947934707123805,0.10661769550882683,0.00078305860156475731,0.61466366167198161,31.275967006784178,30.275967006784178
2,16,128,256,1048576,428,0.095815642314903526,0.00048502410284825446,0.15002318878039897,0.05058388435698026,0.00053391027540464599,0.29250234945438169,16.431006423005655,15.431006423005655
2,16,256,256,1048576,556,0.046439484307481134,0.0003415206260763114,0.102395384029007,0.024110535767595538,0.00037130301767198884,0.14294244140830792,9.1987073645921349,8.1987073645921349
2,16,512,256,1048576,1212,0.023162213642685076,0.00024101225265968235,0.077820723925415156,0.012061787640068692,0.00026064814159254882,0.070775068241388753,5.7062554373258934,4.7062554373258934
2,16,1024,256,1048576,1724,0.011478653297608206,0.00017022697012666563,0.047782324349398692,0.0059462632510147119,0.00018359134824171824,0.035198077014725104,3.7847866170389155,2.7847866170389155
2,16,2048,256,1048576,2748,0.0059093511622833987,0.00011993366169798364,0.026473303840532869,0.0031648465766016876,0.00012913624366477002,0.017435906818000863,2.7716060687059647,1.7716060687059647
2,16,4096,256,1048576,4796,0.0027718709400034688,0.000085357531682964422,0.013920670437391839,0.0013816117693857182,0.000091886986914853315,0.0088327897000812314,2.0786744603731551,1.0786744603731551
2,16,8192,256,1048576,8892,0.0013971933815046455,0.000060229921651664325,0.0071400431382566401,0.00070521938037040465,0.000064793375504042656,0.0043932614660761472,1.7149048363024191,0.71490483630241908
3,16,51,256,131072,1051,0.067474872122239654,0.0011881353719025796,0.12262845000656092,0.034547623104178096,0.0012449639422000113,0.20051402428561124,12.081560415896911,11.081560415896911
3,16,93,256,131072,1093,0.036575351176246669,0.00087663073137743679,0.090819397128313939,0.018699213176737138,0.00091196219013282365,0.10822802037675024,7.6466370705966131,6.6466370705966131
3,16,109,256,131072,1309,0.032610409453973449,0.000807803348114664,0.082466387384610512,0.017449386514036835,0.00083827070697894013,0.091549252472882772,7.229593797023262,6.229593797023262
3,16,128,256,131072,1328,0.027776160496748137,0.00074205700367527435,0.077804565374236523,0.014989396363300767,0.00076908476165664169,0.077129434885511869,6.5031401899677324,5.5031401899677324
3,16,256,256,131072,1256,0.01363377888524506,0.00052363902857047585,0.054858626644793448,0.0072753470705906988,0.0005408660383969347,0.038240982203370542,4.164415285579925,3.164415285579925
3,16,512,256,131072,1512,0.0066844518762903668,0.0003708996509463675,0.040079706222372127,0.0034957127795926064,0.00038263257315170659,0.019161253861821621,2.893353911731773,1.893353911731773
3,16,1024,256,131072,2024,0.0035346669430260809,0.00026217816204511236,0.028077512286897147,0.0019414917867851249,0.00027035658871803762,0.0095716943391700622,2.2472067301970879,1.2472067301970879
3,16,2048,256,131072,3248,0.0015957926408070079,0.00018554634460788528,0.016547653631110749,0.00079827789956293522,0.00019114049693887074,0.0047859164081894738,1.7594799342221947,0.75947993422219473
