trial,hidden,selector,retained,list_size,candidate_space,generated_children,exact_factor_evaluations
0,0,pair_beam,0.0,256,7776,4626,0
0,0,exact_rerank,0.0,256,7776,4626,10240
0,1,pair_beam,0.0,256,7776,4626,0
0,1,exact_rerank,0.0,256,7776,4626,10240
0,2,pair_beam,0.0,256,7776,4626,0
0,2,exact_rerank,0.0,256,7776,4626,10240
0,3,pair_beam,0.0,256,7776,4626,0
0,3,exact_rerank,0.0,256,7776,4626,10240
1,0,pair_beam,0.0,256,7776,4626,0
1,0,exact_rerank,0.0,256,7776,4626,10240
1,1,pair_beam,0.0,256,7776,4626,0
1,1,exact_rerank,0.0,256,7776,4626,10240
1,2,pair_beam,0.0,256,7776,4626,0
1,2,exact_rerank,0.0,256,7776,4626,10240
1,3,pair_beam,0.0,256,7776,4626,0
1,3,exact_rerank,0.0,256,7776,4626,10240
2,0,pair_beam,1.0,256,7776,4626,0
2,0,exact_rerank,0.0,256,7776,4626,10240
2,1,pair_beam,0.0,256,7776,4626,0
2,1,exact_rerank,0.0,256,7776,4626,10240
2,2,pair_beam,0.0,256,7776,4626,0
2,2,exact_rerank,0.0,256,7776,4626,10240
2,3,pair_beam,0.0,256,7776,4626,0
2,3,exact_rerank,0.0,256,7776,4626,10240
3,0,pair_beam,0.0,256,7776,4626,0
3,0,exact_rerank,0.0,256,7776,4626,10240
3,1,pair_beam,0.0,256,7776,4626,0
3,1,exact_rerank,0.0,256,7776,4626,10240
3,2,pair_beam,0.0,256,7776,4626,0
3,2,exact_rerank,0.0,256,7776,4626,10240
3,3,pair_beam,0.0,256,7776,4626,0
3,3,exact_rerank,0.0,256,7776,4626,10240
4,0,pair_beam,0.0,256,7776,4626,0
4,0,exact_rerank,0.0,256,7776,4626,10240
4,1,pair_beam,0.0,256,7776,4626,0
4,1,exact_rerank,0.0,256,7776,4626,10240
4,2,pair_beam,0.0,256,7776,4626,0
4,2,exact_rerank,0.0,256,7776,4626,10240
4,3,pair_beam,0.0,256,7776,4626,0
4,3,exact_rerank,0.0,256,7776,4626,10240
5,0,pair_beam,0.0,256,7776,4626,0
5,0,exact_rerank,0.0,256,7776,4626,10240
5,1,pair_beam,0.0,256,7776,4626,0
5,1,exact_rerank,0.0,256,7776,4626,10240
5,2,pair_beam,0.0,256,7776,4626,0
5,2,exact_rerank,0.0,256,7776,4626,10240
5,3,pair_beam,1.0,256,7776,4626,0
5,3,exact_rerank,1.0,256,7776,4626,10240
6,0,pair_beam,0.0,256,7776,4626,0
6,0,exact_rerank,0.0,256,7776,4626,10240
6,1,pair_beam,0.0,256,7776,4626,0
6,1,exact_rerank,0.0,256,7776,4626,10240
6,2,pair_beam,0.0,256,7776,4626,0
6,2,exact_rerank,0.0,256,7776,4626,10240
6,3,pair_beam,0.0,256,7776,4626,0
6,3,exact_rerank,0.0,256,7776,4626,10240
7,0,pair_beam,0.0,256,7776,4626,0
7,0,exact_rerank,0.0,256,7776,4626,10240
7,1,pair_beam,0.0,256,7776,4626,0
7,1,exact_rerank,0.0,256,7776,4626,10240
7,2,pair_beam,0.0,256,7776,4626,0
7,2,exact_rerank,0.0,256,7776,4626,10240
7,3,pair_beam,0.0,256,7776,4626,0
7,3,exact_rerank,0.0,256,7776,4626,10240
8,0,pair_beam,0.0,256,7776,4626,0
8,0,exact_rerank,0.0,256,7776,4626,10240
8,1,pair_beam,0.0,256,7776,4626,0
8,1,exact_rerank,0.0,256,7776,4626,10240
8,2,pair_beam,0.0,256,7776,4626,0
8,2,exact_rerank,0.0,256,7776,4626,10240
8,3,pair_beam,0.0,256,7776,4626,0
8,3,exact_rerank,0.0,256,7776,4626,10240
9,0,pair_beam,0.28431372549019607,256,7776,4626,0
9,0,exact_rerank,0.0,256,7776,4626,10240
9,1,pair_beam,0.0,256,7776,4626,0
9,1,exact_rerank,0.0,256,7776,4626,10240
9,2,pair_beam,0.0,256,7776,4626,0
9,2,exact_rerank,0.0,256,7776,4626,10240
9,3,pair_beam,0.0,256,7776,4626,0
9,3,exact_rerank,1.0,256,7776,4626,10240
10,0,pair_beam,1.0,256,7776,4626,0
10,0,exact_rerank,1.0,256,7776,4626,10240
10,1,pair_beam,0.0,256,7776,4626,0
10,1,exact_rerank,0.0,256,7776,4626,10240
10,2,pair_beam,1.0,256,7776,4626,0
10,2,exact_rerank,1.0,256,7776,4626,10240
10,3,pair_beam,0.0,256,7776,4626,0
10,3,exact_rerank,0.0,256,7776,4626,10240
11,0,pair_beam,0.0,256,7776,4626,0
11,0,exact_rerank,0.0,256,7776,4626,10240
11,1,pair_beam,0.0,256,7776,4626,0
11,1,exact_rerank,0.0,256,7776,4626,10240
11,2,pair_beam,0.0,256,7776,4626,0
11,2,exact_rerank,0.0,256,7776,4626,10240
11,3,pair_beam,0.0,256,7776,4626,0
11,3,exact_rerank,0.0,256,7776,4626,10240
12,0,pair_beam,0.0,256,7776,4626,0
12,0,exact_rerank,0.0,256,7776,4626,10240
12,1,pair_beam,0.0,256,7776,4626,0
12,1,exact_rerank,0.0,256,7776,4626,10240
12,2,pair_beam,0.0,256,7776,4626,0
12,2,exact_rerank,0.0,256,7776,4626,10240
12,3,pair_beam,1.0,256,7776,4626,0
12,3,exact_rerank,1.0,256,7776,4626,10240
13,0,pair_beam,0.0,256,7776,4626,0
13,0,exact_rerank,0.0,256,7776,4626,10240
13,1,pair_beam,0.0,256,7776,4626,0
13,1,exact_rerank,1.0,256,7776,4626,10240
13,2,pair_beam,0.0,256,7776,4626,0
13,2,exact_rerank,1.0,256,7776,4626,10240
13,3,pair_beam,0.0,256,7776,4626,0
13,3,exact_rerank,1.0,256,7776,4626,10240
14,0,pair_beam,0.0,256,7776,4626,0
14,0,exact_rerank,0.0,256,7776,4626,10240
14,1,pair_beam,0.0,256,7776,4626,0
14,1,exact_rerank,0.0,256,7776,4626,10240
14,2,pair_beam,0.0,256,7776,4626,0
14,2,exact_rerank,0.0,256,7776,4626,10240
14,3,pair_beam,0.0,256,7776,4626,0
14,3,exact_rerank,0.0,256,7776,4626,10240
15,0,pair_beam,0.0,256,7776,4626,0
15,0,exact_rerank,0.0,256,7776,4626,10240
15,1,pair_beam,0.0,256,7776,4626,0
15,1,exact_rerank,0.0,256,7776,4626,10240
15,2,pair_beam,0.0,256,7776,4626,0
15,2,exact_rerank,0.0,256,7776,4626,10240
15,3,pair_beam,0.0,256,7776,4626,0
15,3,exact_rerank,0.0,256,7776,4626,10240
16,0,pair_beam,0.0,256,7776,4626,0
16,0,exact_rerank,0.0,256,7776,4626,10240
16,1,pair_beam,0.0,256,7776,4626,0
16,1,exact_rerank,0.0,256,7776,4626,10240
16,2,pair_beam,0.0,256,7776,4626,0
16,2,exact_rerank,0.0,256,7776,4626,10240
16,3,pair_beam,0.0,256,7776,4626,0
16,3,exact_rerank,0.0,256,7776,4626,10240
17,0,pair_beam,0.0,256,7776,4626,0
17,0,exact_rerank,0.0,256,7776,4626,10240
17,1,pair_beam,0.0,256,7776,4626,0
17,1,exact_rerank,0.0,256,7776,4626,10240
17,2,pair_beam,0.0,256,7776,4626,0
17,2,exact_rerank,0.0,256,7776,4626,10240
17,3,pair_beam,0.0,256,7776,4626,0
17,3,exact_rerank,0.0,256,7776,4626,10240
18,0,pair_beam,0.0,256,7776,4626,0
18,0,exact_rerank,0.0,256,7776,4626,10240
18,1,pair_beam,0.0,256,7776,4626,0
18,1,exact_rerank,0.0,256,7776,4626,10240
18,2,pair_beam,0.0,256,7776,4626,0
18,2,exact_rerank,0.0,256,7776,4626,10240
18,3,pair_beam,0.0,256,7776,4626,0
18,3,exact_rerank,0.0,256,7776,4626,10240
19,0,pair_beam,0.0,256,7776,4626,0
19,0,exact_rerank,0.0,256,7776,4626,10240
19,1,pair_beam,0.0,256,7776,4626,0
19,1,exact_rerank,0.0,256,7776,4626,10240
19,2,pair_beam,0.0,256,7776,4626,0
19,2,exact_rerank,0.0,256,7776,4626,10240
19,3,pair_beam,0.0,256,7776,4626,0
19,3,exact_rerank,0.0,256,7776,4626,10240
20,0,pair_beam,0.0,256,7776,4626,0
20,0,exact_rerank,0.0,256,7776,4626,10240
20,1,pair_beam,0.0,256,7776,4626,0
20,1,exact_rerank,0.0,256,7776,4626,10240
20,2,pair_beam,0.0,256,7776,4626,0
20,2,exact_rerank,0.0,256,7776,4626,10240
20,3,pair_beam,0.0,256,7776,4626,0
20,3,exact_rerank,0.0,256,7776,4626,10240
21,0,pair_beam,0.0,256,7776,4626,0
21,0,exact_rerank,0.0,256,7776,4626,10240
21,1,pair_beam,0.0,256,7776,4626,0
21,1,exact_rerank,0.0,256,7776,4626,10240
21,2,pair_beam,0.0,256,7776,4626,0
21,2,exact_rerank,0.0,256,7776,4626,10240
21,3,pair_beam,0.0,256,7776,4626,0
21,3,exact_rerank,0.0,256,7776,4626,10240
22,0,pair_beam,1.0,256,7776,4626,0
22,0,exact_rerank,1.0,256,7776,4626,10240
22,1,pair_beam,0.0,256,7776,4626,0
22,1,exact_rerank,0.0,256,7776,4626,10240
22,2,pair_beam,0.0,256,7776,4626,0
22,2,exact_rerank,0.0,256,7776,4626,10240
22,3,pair_beam,0.0,256,7776,4626,0
22,3,exact_rerank,0.0,256,7776,4626,10240
23,0,pair_beam,0.0,256,7776,4626,0
23,0,exact_rerank,0.0,256,7776,4626,10240
23,1,pair_beam,0.0,256,7776,4626,0
23,1,exact_rerank,0.0,256,7776,4626,10240
23,2,pair_beam,0.0,256,7776,4626,0
23,2,exact_rerank,0.0,256,7776,4626,10240
23,3,pair_beam,0.0,256,7776,4626,0
23,3,exact_rerank,0.0,256,7776,4626,10240
24,0,pair_beam,0.0,256,7776,4626,0
24,0,exact_rerank,0.0,256,7776,4626,10240
24,1,pair_beam,0.0,256,7776,4626,0
24,1,exact_rerank,0.0,256,7776,4626,10240
24,2,pair_beam,0.0,256,7776,4626,0
24,2,exact_rerank,0.0,256,7776,4626,10240
24,3,pair_beam,0.0,256,7776,4626,0
24,3,exact_rerank,0.0,256,7776,4626,10240
25,0,pair_beam,0.0,256,7776,4626,0
25,0,exact_rerank,0.0,256,7776,4626,10240
25,1,pair_beam,0.0,256,7776,4626,0
25,1,exact_rerank,0.0,256,7776,4626,10240
25,2,pair_beam,0.0,256,7776,4626,0
25,2,exact_rerank,0.0,256,7776,4626,10240
25,3,pair_beam,0.0,256,7776,4626,0
25,3,exact_rerank,0.0,256,7776,4626,10240
26,0,pair_beam,0.0,256,7776,4626,0
26,0,exact_rerank,0.0,256,7776,4626,10240
26,1,pair_beam,1.0,256,7776,4626,0
26,1,exact_rerank,1.0,256,7776,4626,10240
26,2,pair_beam,0.0,256,7776,4626,0
26,2,exact_rerank,0.0,256,7776,4626,10240
26,3,pair_beam,0.0,256,7776,4626,0
26,3,exact_rerank,0.0,256,7776,4626,10240
27,0,pair_beam,0.0,256,7776,4626,0
27,0,exact_rerank,0.0,256,7776,4626,10240
27,1,pair_beam,0.0,256,7776,4626,0
27,1,exact_rerank,0.0,256,7776,4626,10240
27,2,pair_beam,0.0,256,7776,4626,0
27,2,exact_rerank,0.0,256,7776,4626,10240
27,3,pair_beam,0.0,256,7776,4626,0
27,3,exact_rerank,0.0,256,7776,4626,10240
28,0,pair_beam,0.0,256,7776,4626,0
28,0,exact_rerank,0.0,256,7776,4626,10240
28,1,pair_beam,0.0,256,7776,4626,0
28,1,exact_rerank,0.0,256,7776,4626,10240
28,2,pair_beam,0.0,256,7776,4626,0
28,2,exact_rerank,0.0,256,7776,4626,10240
28,3,pair_beam,0.0,256,7776,4626,0
28,3,exact_rerank,0.0,256,7776,4626,10240
29,0,pair_beam,0.0,256,7776,4626,0
29,0,exact_rerank,0.0,256,7776,4626,10240
29,1,pair_beam,0.0,256,7776,4626,0
29,1,exact_rerank,0.0,256,7776,4626,10240
29,2,pair_beam,0.0,256,7776,4626,0
29,2,exact_rerank,0.0,256,7776,4626,10240
29,3,pair_beam,0.0,256,7776,4626,0
29,3,exact_rerank,0.0,256,7776,4626,10240
30,0,pair_beam,0.0,256,7776,4626,0
30,0,exact_rerank,0.0,256,7776,4626,10240
30,1,pair_beam,0.0,256,7776,4626,0
30,1,exact_rerank,0.0,256,7776,4626,10240
30,2,pair_beam,0.0,256,7776,4626,0
30,2,exact_rerank,0.0,256,7776,4626,10240
30,3,pair_beam,0.0,256,7776,4626,0
30,3,exact_rerank,0.0,256,7776,4626,10240
31,0,pair_beam,0.0,256,7776,4626,0
31,0,exact_rerank,0.0,256,7776,4626,10240
31,1,pair_beam,0.0,256,7776,4626,0
31,1,exact_rerank,0.0,256,7776,4626,10240
31,2,pair_beam,0.0,256,7776,4626,0
31,2,exact_rerank,0.0,256,7776,4626,10240
31,3,pair_beam,0.0,256,7776,4626,0
31,3,exact_rerank,0.0,256,7776,4626,10240
32,0,pair_beam,0.0,256,7776,4626,0
32,0,exact_rerank,0.0,256,7776,4626,10240
32,1,pair_beam,0.0,256,7776,4626,0
32,1,exact_rerank,0.0,256,7776,4626,10240
32,2,pair_beam,1.0,256,7776,4626,0
32,2,exact_rerank,1.0,256,7776,4626,10240
32,3,pair_beam,0.0,256,7776,4626,0
32,3,exact_rerank,0.0,256,7776,4626,10240
33,0,pair_beam,0.0,256,7776,4626,0
33,0,exact_rerank,0.0,256,7776,4626,10240
33,1,pair_beam,1.0,256,7776,4626,0
33,1,exact_rerank,1.0,256,7776,4626,10240
33,2,pair_beam,1.0,256,7776,4626,0
33,2,exact_rerank,1.0,256,7776,4626,10240
33,3,pair_beam,0.0,256,7776,4626,0
33,3,exact_rerank,0.0,256,7776,4626,10240
34,0,pair_beam,0.0,256,7776,4626,0
34,0,exact_rerank,0.0,256,7776,4626,10240
34,1,pair_beam,0.0,256,7776,4626,0
34,1,exact_rerank,0.0,256,7776,4626,10240
34,2,pair_beam,0.0,256,7776,4626,0
34,2,exact_rerank,0.0,256,7776,4626,10240
34,3,pair_beam,0.0,256,7776,4626,0
34,3,exact_rerank,0.0,256,7776,4626,10240
35,0,pair_beam,0.0,256,7776,4626,0
35,0,exact_rerank,0.0,256,7776,4626,10240
35,1,pair_beam,0.0,256,7776,4626,0
35,1,exact_rerank,0.0,256,7776,4626,10240
35,2,pair_beam,0.0,256,7776,4626,0
35,2,exact_rerank,0.0,256,7776,4626,10240
35,3,pair_beam,0.0,256,7776,4626,0
35,3,exact_rerank,0.0,256,7776,4626,10240
36,0,pair_beam,0.0,256,7776,4626,0
36,0,exact_rerank,0.0,256,7776,4626,10240
36,1,pair_beam,1.0,256,7776,4626,0
36,1,exact_rerank,1.0,256,7776,4626,10240
36,2,pair_beam,1.0,256,7776,4626,0
36,2,exact_rerank,0.0,256,7776,4626,10240
36,3,pair_beam,0.0,256,7776,4626,0
36,3,exact_rerank,0.0,256,7776,4626,10240
37,0,pair_beam,0.0,256,7776,4626,0
37,0,exact_rerank,0.0,256,7776,4626,10240
37,1,pair_beam,0.0,256,7776,4626,0
37,1,exact_rerank,0.0,256,7776,4626,10240
37,2,pair_beam,0.0,256,7776,4626,0
37,2,exact_rerank,0.0,256,7776,4626,10240
37,3,pair_beam,0.0,256,7776,4626,0
37,3,exact_rerank,0.0,256,7776,4626,10240
38,0,pair_beam,0.0,256,7776,4626,0
38,0,exact_rerank,0.0,256,7776,4626,10240
38,1,pair_beam,0.0,256,7776,4626,0
38,1,exact_rerank,0.0,256,7776,4626,10240
38,2,pair_beam,0.0,256,7776,4626,0
38,2,exact_rerank,0.0,256,7776,4626,10240
38,3,pair_beam,0.0,256,7776,4626,0
38,3,exact_rerank,0.0,256,7776,4626,10240
39,0,pair_beam,0.0,256,7776,4626,0
39,0,exact_rerank,0.0,256,7776,4626,10240
39,1,pair_beam,0.0,256,7776,4626,0
39,1,exact_rerank,0.0,256,7776,4626,10240
39,2,pair_beam,0.0,256,7776,4626,0
39,2,exact_rerank,0.0,256,7776,4626,10240
39,3,pair_beam,0.0,256,7776,4626,0
39,3,exact_rerank,0.0,256,7776,4626,10240
40,0,pair_beam,0.0,256,7776,4626,0
40,0,exact_rerank,0.0,256,7776,4626,10240
40,1,pair_beam,0.0,256,7776,4626,0
40,1,exact_rerank,0.0,256,7776,4626,10240
40,2,pair_beam,1.0,256,7776,4626,0
40,2,exact_rerank,1.0,256,7776,4626,10240
40,3,pair_beam,0.0,256,7776,4626,0
40,3,exact_rerank,0.0,256,7776,4626,10240
41,0,pair_beam,0.0,256,7776,4626,0
41,0,exact_rerank,0.0,256,7776,4626,10240
41,1,pair_beam,1.0,256,7776,4626,0
41,1,exact_rerank,1.0,256,7776,4626,10240
41,2,pair_beam,0.0,256,7776,4626,0
41,2,exact_rerank,0.0,256,7776,4626,10240
41,3,pair_beam,0.0,256,7776,4626,0
41,3,exact_rerank,0.0,256,7776,4626,10240
42,0,pair_beam,0.0,256,7776,4626,0
42,0,exact_rerank,0.0,256,7776,4626,10240
42,1,pair_beam,0.0,256,7776,4626,0
42,1,exact_rerank,0.0,256,7776,4626,10240
42,2,pair_beam,0.0,256,7776,4626,0
42,2,exact_rerank,1.0,256,7776,4626,10240
