trial,selector,candidate_scores,merge_entries,rounds,optimistic_work,recovered_planted,solution_count_lower_bound
0,uniform,36,141,71,177,1,1
0,pair,36,119,60,155,1,1
0,exact,36,121,61,157,1,1
1,uniform,36,132,66,168,1,1
1,pair,36,55,28,91,1,1
1,exact,36,79,40,115,1,1
2,uniform,36,158,79,194,1,1
2,pair,36,56,28,92,1,1
2,exact,36,86,43,122,1,1
3,uniform,36,82,41,118,1,1
3,pair,36,111,56,147,1,1
3,exact,36,47,24,83,1,1
