trial,selector,candidate_scores,merge_entries,rounds,optimistic_work,recovered_planted,solution_count_lower_bound
0,uniform,2048,459668,229834,461716,1,1
0,pair,2048,445056,222528,447104,1,1
0,exact,2048,397596,198798,399644,1,1
1,uniform,2048,327071,163536,329119,1,1
1,pair,2048,419106,209553,421154,1,1
1,exact,2048,290126,145063,292174,1,1
2,uniform,2048,319492,159746,321540,1,1
2,pair,2048,413882,206941,415930,1,1
2,exact,2048,371402,185701,373450,1,1
3,uniform,2048,406020,203010,408068,1,1
3,pair,2048,247336,123668,249384,1,1
3,exact,2048,265799,132900,267847,1,1
4,uniform,2048,411697,205849,413745,1,1
4,pair,2048,74574,37287,76622,1,1
4,exact,2048,98810,49405,100858,1,1
5,uniform,2048,214454,107227,216502,1,1
5,pair,2048,462036,231018,464084,1,1
5,exact,2048,365627,182814,367675,1,1
6,uniform,2048,440376,220188,442424,1,1
6,pair,2048,428307,214154,430355,1,1
6,exact,2048,201557,100779,203605,1,1
7,uniform,2048,395632,197816,397680,1,1
7,pair,2048,36146,18073,38194,1,1
7,exact,2048,98979,49490,101027,1,1
8,uniform,2048,458213,229107,460261,1,1
8,pair,2048,422984,211492,425032,1,1
8,exact,2048,303570,151785,305618,1,1
9,uniform,2048,306946,153473,308994,1,1
9,pair,2048,237361,118681,239409,1,1
9,exact,2048,146947,73474,148995,1,1
10,uniform,2048,263855,131928,265903,1,1
10,pair,2048,203154,101577,205202,1,1
10,exact,2048,205618,102809,207666,1,1
11,uniform,2048,361452,180726,363500,1,1
11,pair,2048,135079,67540,137127,1,1
11,exact,2048,76601,38301,78649,1,1
12,uniform,2048,404611,202306,406659,1,1
12,pair,2048,51639,25820,53687,1,1
12,exact,2048,240784,120392,242832,1,1
13,uniform,2048,333440,166720,335488,1,1
13,pair,2048,148715,74358,150763,1,1
13,exact,2048,28795,14398,30843,1,1
14,uniform,2048,348423,174212,350471,1,1
14,pair,2048,185741,92871,187789,1,1
14,exact,2048,263681,131841,265729,1,1
15,uniform,2048,513887,256944,515935,1,1
15,pair,2048,50333,25167,52381,1,1
15,exact,2048,34357,17179,36405,1,1
