algorithm,p,p_x,p_y,ell,ell_x,ell_y,leaf_log2,first_merge_log2,second_merge_log2,final_merge_log2,iteration_log2,free_final_work_log2,inverse_success_log2,expected_work_log2,memory_log2
MMT,0,0,-1,0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,128.0,128.0,128.0,0.0
BJMM,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0,128.0,0.0
MMT,2,2,-1,5,2.173010083128132,0.0,32.58499918988681,31.379069137424047,-inf,17.526237372640864,32.58499918988681,146.44454541853798,113.85954622865117,146.44454541853798,32.58499918988681
MMT,2,2,-1,6,2.173010474419983,0.0,32.58500652760797,31.379077552188143,-inf,1.526238449235933,32.58500652760797,146.44590304968682,113.86089652207886,146.44590304968682,32.58500652760797
MMT,2,2,-1,7,2.173010865710136,0.0,32.58501386529183,31.37908596690479,-inf,-14.473760474291083,32.58501386529183,146.44726070170287,113.86224683641103,146.44726070170287,32.58501386529183
MMT,2,2,-1,8,2.1730112569985915,0.0,32.58502120293835,31.379094381573935,-inf,-30.473759397940256,32.58502120293835,146.44861837458666,113.8635971716483,146.44861837458666,32.58502120293835
MMT,2,2,-1,9,2.173011648285349,0.0,32.58502854054756,31.379102796195625,-inf,-46.4737583217115,32.58502854054756,146.44997606833886,113.8649475277913,146.44997606833886,32.58502854054756
MMT,2,2,-1,10,2.1730120395704082,0.0,32.58503587811945,31.379111210769835,-inf,-62.4737572456049,32.58503587811945,146.45133378296018,113.86629790484072,146.45133378296018,32.58503587811945
MMT,2,2,-1,11,2.1730124308537695,0.0,32.58504321565402,31.379119625296582,-inf,-78.47375616962037,32.58504321565402,146.45269151845116,113.86764830279715,146.45269151845116,32.58504321565402
MMT,2,2,-1,12,2.173012822135433,0.0,32.58505055315127,31.379128039775857,-inf,-94.47375509375794,32.58505055315127,146.45404927481252,113.86899872166124,146.45404927481252,32.58505055315127
MMT,2,2,-1,13,2.1730132134153988,0.0,32.5850578906112,31.37913645420766,-inf,-110.47375401801762,32.5850578906112,146.45540705204482,113.87034916143361,146.45540705204482,32.5850578906112
MMT,2,2,-1,14,2.173013604693666,0.0,32.58506522803382,31.379144868592,-inf,-126.47375294239939,32.58506522803382,146.45676485014872,113.87169962211489,146.45676485014872,32.58506522803382
MMT,2,2,-1,15,2.1730139959702357,0.0,32.58507256541912,31.37915328292887,-inf,-142.4737518669033,32.58507256541912,146.4581226691249,113.87305010370576,146.4581226691249,32.58507256541912
MMT,2,2,-1,16,2.1730143872451073,0.0,32.5850799027671,31.379161697218272,-inf,-158.47375079152928,32.5850799027671,146.4594805089739,113.8744006062068,146.4594805089739,32.5850799027671
MMT,2,2,-1,17,2.1730147785182816,0.0,32.58508724007777,31.379170111460212,-inf,-174.47374971627738,32.58508724007777,146.46083836969643,113.87575112961868,146.46083836969643,32.58508724007777
MMT,2,2,-1,18,2.173015169789757,0.0,32.585094577351114,31.37917852565468,-inf,-190.4737486411476,32.585094577351114,146.46219625129316,113.87710167394204,146.46219625129316,32.585094577351114
MMT,2,2,-1,19,2.173015561059535,0.0,32.58510191458715,31.379186939801684,-inf,-206.4737475661399,32.58510191458715,146.46355415376462,113.87845223917746,146.46355415376462,32.58510191458715
MMT,2,2,-1,20,2.1730159523276154,0.0,32.585109251785866,31.379195353901224,-inf,-222.4737464912543,32.585109251785866,146.46491207711153,113.87980282532565,146.46491207711153,32.585109251785866
MMT,2,2,-1,21,2.1730163435939978,0.0,32.58511658894727,31.379203767953307,-inf,-238.47374541649071,32.58511658894727,146.46627002133448,113.88115343238721,146.46627002133448,32.58511658894727
MMT,2,2,-1,22,2.1730167348586824,0.0,32.58512392607136,31.379212181957918,-inf,-254.47374434184928,32.58512392607136,146.46762798643414,113.88250406036278,146.46762798643414,32.58512392607136
MMT,2,2,-1,23,2.173017126121669,0.0,32.58513126315813,31.379220595915058,-inf,-270.47374326732995,32.58513126315813,146.46898597241108,113.88385470925294,146.46898597241108,32.58513126315813
MMT,2,2,-1,24,2.173017517382958,0.0,32.58513860020759,31.37922900982474,-inf,-286.4737421929327,32.58513860020759,146.47034397926603,113.88520537905843,146.47034397926603,32.58513860020759
MMT,2,2,-1,25,2.1730179086425494,0.0,32.585145937219735,31.379237423686952,-inf,-302.4737411186576,32.585145937219735,146.47170200699958,113.88655606977984,146.47170200699958,32.585145937219735
MMT,2,2,-1,26,2.173018299900443,0.0,32.58515327419457,31.379245837501706,-inf,-318.4737400445045,32.58515327419457,146.47306005561234,113.88790678141777,146.47306005561234,32.58515327419457
MMT,2,2,-1,27,2.173018691156639,0.0,32.585160611132096,31.379254251269018,-inf,-334.4737389704735,32.585160611132096,146.474418125105,113.88925751397291,146.474418125105,32.585160611132096
MMT,2,2,-1,28,2.173019082411137,0.0,32.5851679480323,31.379262664988843,-inf,-350.47373789656467,32.5851679480323,146.47577621547813,113.89060826744583,146.47577621547813,32.5851679480323
MMT,2,2,-1,29,2.173019473663937,0.0,32.5851752848952,31.379271078661226,-inf,-366.4737368227779,32.5851752848952,146.47713432673243,113.89195904183723,146.47713432673243,32.5851752848952
MMT,2,2,-1,30,2.17301986491504,0.0,32.58518262172078,31.37927949228613,-inf,-382.4737357491131,32.58518262172078,146.4784924588685,113.89330983714771,146.4784924588685,32.58518262172078
MMT,2,2,-1,31,2.173020256164445,0.0,32.585189958509055,31.379287905863585,-inf,-398.4737346755704,32.585189958509055,146.47985061188697,113.89466065337793,146.47985061188697,32.585189958509055
MMT,2,2,-1,32,2.173020647412152,0.0,32.585197295260016,31.379296319393582,-inf,-414.4737336021499,32.585197295260016,146.4812087857885,113.89601149052851,146.4812087857885,32.585197295260016
MMT,2,2,-1,33,2.173021038658162,0.0,32.58520463197367,31.379304732876115,-inf,-430.47373252885143,32.58520463197367,146.48256698057378,113.8973623486001,146.48256698057378,32.58520463197367
MMT,2,2,-1,34,2.173021429902474,0.0,32.585211968650015,31.379313146311205,-inf,-446.473731455675,32.585211968650015,146.48392519624332,113.8987132275933,146.48392519624332,32.585211968650015
MMT,2,2,-1,35,2.1730218211450887,0.0,32.585219305289044,31.379321559698816,-inf,-462.4737303826207,32.585219305289044,146.48528343279781,113.90006412750876,146.48528343279781,32.585219305289044
MMT,2,2,-1,36,2.173022212386005,0.0,32.58522664189077,31.379329973038992,-inf,-478.47372930968845,32.58522664189077,146.48664169023795,113.90141504834718,146.48664169023795,32.58522664189077
MMT,2,2,-1,37,2.173022603625224,0.0,32.58523397845518,31.37933838633169,-inf,-494.4737282368784,32.58523397845518,146.48799996856428,113.90276599010909,146.48799996856428,32.58523397845518
MMT,2,2,-1,38,2.173022994862746,0.0,32.585241314982284,31.379346799576936,-inf,-510.4737271641903,32.585241314982284,146.48935826777748,113.90411695279519,146.48935826777748,32.585241314982284
MMT,2,2,-1,39,2.1730233860985697,0.0,32.585248651472085,31.379355212774747,-inf,-526.4737260916243,32.585248651472085,146.49071658787818,113.90546793640611,146.49071658787818,32.585248651472085
MMT,2,2,-1,40,2.1730237773326966,0.0,32.58525598792457,31.379363625925073,-inf,-542.4737250191802,32.58525598792457,146.49207492886705,113.90681894094247,146.49207492886705,32.58525598792457
