name,selector_k,selector,field_modulus,rank_modulus,weight,block_length,partition_size,trials,pair_slope,pair_r_squared,base_support,base_rank,support,support_se,support_gain_bits,rank,success,success_se,gain_bits,mixed_expected_work_gain_bits,mixed_alpha,weighted_expected_work_gain_bits,weighted_beta,weighted_half_success_gain_bits,weighted_half_beta,seconds,seed
t3-L4,4,joint,3,65537,3,4,3,128,-0.152039274,0.934590864,0.015625000,1.000000000,0.023758621,0.000168410,0.604594890,1.000000000,0.023758621,0.000168410,0.604594890,0.008859009,0.05,nan,nan,nan,nan,5.674501,20260810
t3-L4,8,marginal,3,65537,3,4,3,128,-0.077804488,0.919858419,0.015625000,1.000000000,0.018701149,0.000128392,0.259270742,1.000000000,0.018701149,0.000128392,0.259270742,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,5.795019,20260810
t3-L4,8,pair,3,65537,3,4,3,128,-0.077804488,0.919858419,0.015625000,1.000000000,0.018726662,0.000137933,0.261237541,1.000000000,0.018726662,0.000137933,0.261237541,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,5.795019,20260810
t3-L4,8,joint,3,65537,3,4,3,128,-0.077804488,0.919858419,0.015625000,1.000000000,0.020162888,0.000129859,0.367846100,1.000000000,0.020162888,0.000129859,0.367846100,0.000000000,0.00,nan,nan,nan,nan,5.795019,20260810
t3-L8,1,marginal,3,65537,3,8,3,64,-0.497923070,0.957515921,0.015625000,1.000000000,0.039712269,0.000835895,1.345728588,1.000000000,0.039712269,0.000835895,1.345728588,0.028216351,0.05,0.052079365,0.50,0.167877346,2.00,20.841962,20260810
t3-L8,1,pair,3,65537,3,8,3,64,-0.497923070,0.957515921,0.015625000,1.000000000,0.039689674,0.000832512,1.344907508,1.000000000,0.039689674,0.000832512,1.344907508,0.010960893,0.05,0.037981633,0.25,0.137848758,1.00,20.841962,20260810
t3-L8,1,joint,3,65537,3,8,3,64,-0.497923070,0.957515921,0.015625000,1.000000000,0.048202101,0.000735491,1.625239829,1.000000000,0.048202101,0.000735491,1.625239829,0.042076833,0.05,nan,nan,nan,nan,20.841962,20260810
t3-L8,2,marginal,3,65537,3,8,3,64,-0.282971068,0.946502865,0.015625000,1.000000000,0.026402810,0.000333334,0.756835316,1.000000000,0.026402810,0.000333334,0.756835316,0.007883270,0.05,0.054191748,1.00,0.124595394,2.00,16.693783,20260810
t3-L8,2,pair,3,65537,3,8,3,64,-0.282971068,0.946502865,0.015625000,1.000000000,0.026316444,0.000333682,0.752108386,1.000000000,0.026316444,0.000333682,0.752108386,0.027550741,0.05,0.053630410,1.00,0.129877855,2.00,16.693783,20260810
t3-L8,2,joint,3,65537,3,8,3,64,-0.282971068,0.946502865,0.015625000,1.000000000,0.031195151,0.000285585,0.997465625,1.000000000,0.031195151,0.000285585,0.997465625,0.039562737,0.05,nan,nan,nan,nan,16.693783,20260810
