trial,selector,candidate_scores,merge_entries,rounds,optimistic_work,recovered_planted,solution_count_lower_bound
0,uniform,1024,72521,36261,73545,1,1
0,pair,1024,38742,19371,39766,1,1
0,exact,1024,85910,42955,86934,1,1
1,uniform,1024,113721,56861,114745,1,1
1,pair,1024,55823,27912,56847,1,1
1,exact,1024,106505,53253,107529,1,1
2,uniform,1024,108169,54085,109193,1,1
2,pair,1024,98276,49138,99300,1,1
2,exact,1024,51118,25559,52142,1,1
3,uniform,1024,105501,52751,106525,1,1
3,pair,1024,41262,20631,42286,1,1
3,exact,1024,49203,24602,50227,1,1
4,uniform,1024,36295,18148,37319,1,1
4,pair,1024,102655,51328,103679,1,1
4,exact,1024,106281,53141,107305,1,1
5,uniform,1024,124083,62042,125107,1,1
5,pair,1024,114735,57368,115759,1,1
5,exact,1024,99441,49721,100465,1,1
6,uniform,1024,96956,48478,97980,1,1
6,pair,1024,125248,62624,126272,1,1
6,exact,1024,92532,46266,93556,1,1
7,uniform,1024,81208,40604,82232,1,1
7,pair,1024,48367,24184,49391,1,1
7,exact,1024,34201,17101,35225,1,1
8,uniform,1024,105082,52541,106106,1,1
8,pair,1024,85362,42681,86386,1,1
8,exact,1024,29906,14953,30930,1,1
9,uniform,1024,121593,60797,122617,1,1
9,pair,1024,71827,35914,72851,1,1
9,exact,1024,38016,19008,39040,1,1
10,uniform,1024,97651,48826,98675,1,1
10,pair,1024,113995,56998,115019,1,1
10,exact,1024,23420,11710,24444,1,1
11,uniform,1024,82777,41389,83801,1,1
11,pair,1024,30995,15498,32019,1,1
11,exact,1024,47139,23570,48163,1,1
12,uniform,1024,120380,60190,121404,1,1
12,pair,1024,103378,51689,104402,1,1
12,exact,1024,62502,31251,63526,1,1
13,uniform,1024,75159,37580,76183,1,1
13,pair,1024,64417,32209,65441,1,1
13,exact,1024,98985,49493,100009,1,1
14,uniform,1024,9117,4559,10141,1,1
14,pair,1024,64822,32411,65846,1,1
14,exact,1024,24477,12239,25501,1,1
15,uniform,1024,22563,11282,23587,1,1
15,pair,1024,118980,59490,120004,1,1
15,exact,1024,100540,50270,101564,1,1
16,uniform,1024,88319,44160,89343,1,1
16,pair,1024,16490,8245,17514,1,1
16,exact,1024,23983,11992,25007,1,1
17,uniform,1024,56470,28235,57494,1,1
17,pair,1024,99999,50000,101023,1,1
17,exact,1024,61197,30599,62221,1,1
18,uniform,1024,104672,52336,105696,1,1
18,pair,1024,66859,33430,67883,1,1
18,exact,1024,55789,27895,56813,1,1
19,uniform,1024,120862,60431,121886,1,1
19,pair,1024,70393,35197,71417,1,1
19,exact,1024,35676,17838,36700,1,1
20,uniform,1024,108388,54194,109412,1,1
20,pair,1024,38882,19441,39906,1,1
20,exact,1024,52008,26004,53032,1,1
21,uniform,1024,71640,35820,72664,1,1
21,pair,1024,96606,48303,97630,1,1
21,exact,1024,29549,14775,30573,1,1
22,uniform,1024,122944,61472,123968,1,1
22,pair,1024,89426,44713,90450,1,1
22,exact,1024,38208,19104,39232,1,1
23,uniform,1024,128701,64351,129725,1,1
23,pair,1024,69039,34520,70063,1,1
23,exact,1024,66143,33072,67167,1,1
24,uniform,1024,86946,43473,87970,1,1
24,pair,1024,99211,49606,100235,1,1
24,exact,1024,45942,22971,46966,1,1
25,uniform,1024,73025,36513,74049,1,1
25,pair,1024,93918,46959,94942,1,1
25,exact,1024,49723,24862,50747,1,1
26,uniform,1024,5397,2699,6421,1,1
26,pair,1024,79004,39502,80028,1,1
26,exact,1024,75738,37869,76762,1,1
27,uniform,1024,56734,28367,57758,1,1
27,pair,1024,61980,30990,63004,1,1
27,exact,1024,25125,12563,26149,1,1
28,uniform,1024,41810,20905,42834,1,1
28,pair,1024,30480,15240,31504,1,1
28,exact,1024,44233,22117,45257,1,1
29,uniform,1024,128394,64197,129418,1,1
29,pair,1024,93635,46818,94659,1,1
29,exact,1024,66259,33130,67283,1,1
30,uniform,1024,122887,61444,123911,1,1
30,pair,1024,119351,59676,120375,1,1
30,exact,1024,62843,31422,63867,1,1
31,uniform,1024,110686,55343,111710,1,1
31,pair,1024,64627,32314,65651,1,1
31,exact,1024,53455,26728,54479,1,1
