name,selector,t,d,K,kl_bits_per_list,tv_per_list,pair_chernoff_per_list,search_gain_bits,cost_ratio,debias_ots,total_ots
raw,raw,16,32,1,0.43081945559300394,0.3086502594268747,0.23678405114835277,64.12264628694858,1.0,0,8861696
exact-K2,inverse-Z,16,32,2,0.20038545667840046,0.20886473624467355,0.11676785290903188,32.821709448584485,1.6316732146984054,5597696,14459392
occupancy-K2,inverse-E[Z|D],16,32,2,0.21016352301167107,0.21445664027862324,0.12224456954520502,34.264662588417316,1.158366073492027,1403392,10265088
moments-K2,"inverse-E[Z|D,C2]",16,32,2,0.21012808928051072,0.2140304900583754,0.12262878400142616,34.360209566357405,1.158366073492027,1403392,10265088
exact-K4,inverse-Z,16,32,4,0.09356206654257453,0.13435906788704968,0.05597086299331749,16.689777826060524,2.286688236653571,11402240,20263936
occupancy-K4,inverse-E[Z|D],16,32,4,0.11419227051852274,0.15280729320651507,0.0675944794639701,19.82407286749029,1.3400739542408135,3013632,11875328
moments-K4,"inverse-E[Z|D,C2]",16,32,4,0.1108947118827703,0.14935902374213586,0.0658740031230029,19.359179946026096,1.3400739542408135,3013632,11875328
feasible-limit,U|Z>0,16,32,0,0.0019113938562738194,0.001324000000000015,0.0019113938563292525,0.48931682722028863,1.0,0,8861696
