trial,reduced_weights,total_reduced_weight,balanced_success_beta_0,balanced_success_beta_0.25,balanced_success_beta_0.5,balanced_success_beta_1,balanced_success_beta_2,balanced_success_beta_4,balanced_success_beta_8,dual_success_beta_0,dual_success_beta_0.25,dual_success_beta_0.5,dual_success_beta_1,dual_success_beta_2,dual_success_beta_4,dual_success_beta_8
0,15 13 15 16,59,1.9358333892227405e-41,1.931993753976056e-41,1.9280889428086388e-41,1.9200855112979342e-41,1.9033158043937293e-41,1.8668293748056056e-41,1.782979449697842e-41,5.5918494495145555e-42,5.580781596374373e-42,5.569525268171326e-42,5.5464521396095814e-42,5.498099716071085e-42,5.392871101075462e-42,5.1509466832630904e-42
1,15 15 16 14,60,3.198333425672354e-42,3.165581686282954e-42,3.133031199877883e-42,3.068536748049728e-42,2.94199144878963e-42,2.6987888259068237e-42,2.2524387497165204e-42,8.393946193531783e-43,8.308220887302944e-43,8.223020323194097e-43,8.054200682250871e-43,7.722933455566076e-43,7.086186818378531e-43,5.917186496375963e-43
2,15 15 15 15,60,3.356764802795442e-42,3.354242891708754e-42,3.351591130870152e-42,3.345899343292774e-42,3.33297253566593e-42,3.301037152780538e-42,3.21376131526496e-42,8.393946193531783e-43,8.387624064935122e-43,8.380977587685129e-43,8.366714803220764e-43,8.334334540642033e-43,8.254383460213564e-43,8.036025408535378e-43
3,15 16 14 16,61,4.8116520563212405e-43,4.8035243418130716e-43,4.795218142935556e-43,4.778074185849961e-43,4.7416884020090675e-43,4.6607684139241174e-43,4.468518489617914e-43,1.244235387094313e-43,1.242181619832029e-43,1.2400815686077895e-43,1.235743599879244e-43,1.2265233855699739e-43,1.2059675512329161e-43,1.156950268336618e-43
