independent_success,pair_success,matching_success,minimum_smc_ess,minimum_smc_unique,smc_acceptance,trial
4.969597470196969e-08,6.178593898051502e-08,6.245114450763644e-08,1.0,1.0,1.0,0
5.774137102476447e-08,6.838299801582324e-08,6.53023522048978e-08,1.0,1.0,1.0,1
5.6089992533689293e-08,5.7371644641262054e-08,6.12432364570379e-08,1.0,1.0,1.0,2
7.687555597991691e-08,7.52903079481122e-08,6.704656390768174e-08,1.0,1.0,1.0,3
5.5582573019172136e-08,5.396215839530327e-08,5.2709556062537466e-08,1.0,1.0,1.0,4
5.149215297520628e-08,5.110556598486034e-08,5.156922291236061e-08,1.0,1.0,1.0,5
7.90369001698741e-08,8.562303568718753e-08,8.985358560623143e-08,1.0,1.0,1.0,6
6.599483739475049e-08,6.218909834141057e-08,6.517696177020328e-08,1.0,1.0,1.0,7
