trial,independent_success,sequential_success,independent_log_gain,sequential_log_gain
0,2.257343110106927e-39,3.4179612503550525e-39,-0.38056997962800665,0.2179403405738327
1,5.2972849515402185e-39,5.173494897135176e-39,0.8500574155639242,0.8159435059145466
2,3.4126687348340154e-39,3.18224931229771e-39,0.21570467931255166,0.11485116696805164
3,3.906316181199561e-39,4.228981521205801e-39,0.4106130265457324,0.5251145558288641
4,4.180808396733725e-39,4.761955215648232e-39,0.5085862266744243,0.6963583520746113
5,3.468637203670898e-39,3.3576940185693135e-39,0.23917325162391023,0.19227506510384273
