t,w,d,terminal_live,target_event,depth,samples,target_probability,target_probability_log2,conditional_failures,conditional_failure_rate,failure_estimate,failure_estimate_log2,standard_error
16,4,16,1,depth2_bfs_failure,3,300000,7.714060442484167e-12,-36.91564668859423,18,6e-05,4.6284362654905005e-16,-50.940324662309884,1.0909001613950603e-16
16,4,16,1,depth2_bfs_failure,4,300000,7.714060442484167e-12,-36.91564668859423,12,4e-05,3.0856241769936673e-16,-51.52528716303104,8.907251595650113e-17
16,4,16,1,depth2_bfs_failure,8,300000,7.714060442484167e-12,-36.91564668859423,12,4e-05,3.0856241769936673e-16,-51.52528716303104,8.907251595650113e-17
16,4,16,1,depth2_bfs_failure,16,300000,7.714060442484167e-12,-36.91564668859423,12,4e-05,3.0856241769936673e-16,-51.52528716303104,8.907251595650113e-17
