independent_success,pair_success,matching_success,minimum_smc_ess,minimum_smc_unique,smc_acceptance,trial
4.725891886186231e-08,1.3867678165950728e-07,1.2455955892414263e-07,0.8286110475754802,0.78125,0.6057327578059525,0
7.77776634007769e-08,1.0686377268215014e-07,1.1567108470426667e-07,0.8510757398753895,0.75,0.6120434150210727,1
6.650783645824644e-08,9.044118966781426e-08,8.219614414236866e-08,0.8501351603281133,0.71875,0.6063245899027383,2
1.0489956094208444e-07,1.833890185481616e-07,1.7832478935246114e-07,0.825,0.796875,0.6165368515846421,3
4.940109743425127e-08,7.172980483286357e-08,7.345860550088795e-08,0.8475553505535055,0.75,0.6260235539302916,4
8.297645550026274e-08,1.1482639859467442e-07,1.2053132407044436e-07,0.8208139687828832,0.75,0.6005992601892532,5
5.171243620933511e-08,9.285017729837229e-08,8.293053815770669e-08,0.837225,0.75,0.6212878865946525,6
2.2978565541123572e-07,3.134467788451409e-07,3.25573916099917e-07,0.8271703402938904,0.75,0.6195990747895026,7
3.285887820223329e-08,3.656699311601256e-08,4.657758021249752e-08,0.8094659724372872,0.765625,0.6210387563160603,8
6.736505384083591e-08,7.996860120245255e-08,8.343312941059011e-08,0.8151192196531792,0.765625,0.6095927756338261,9
1.0873713753532634e-07,9.719672616938928e-08,9.580582272409789e-08,0.8056237721021612,0.734375,0.6057064201880772,10
1.5478280746569454e-07,2.0496683879265648e-07,1.8951980074580233e-07,0.8313110568383659,0.78125,0.6179410925905233,11
1.195199994204429e-07,9.713363101996147e-08,1.0430371637396556e-07,0.8507812499999998,0.75,0.6037167680909654,12
7.313019432724567e-08,1.1027418257161698e-07,1.3253902565321702e-07,0.8345485391628679,0.703125,0.6065666759829205,13
1.2865812650358297e-07,2.823751617457516e-07,2.458218736227067e-07,0.8374189349652905,0.765625,0.6149316305090983,14
2.996459829744163e-07,7.435257284750856e-07,6.90171720635638e-07,0.8558289949001274,0.734375,0.6120831402253654,15
