name,selector,t,d,K,kl_bits_per_list,tv_per_list,pair_chernoff_per_list,search_gain_bits,cost_ratio,debias_ots,total_ots
raw,raw,16,20,1,0.7712053338970968,0.41006842172527197,0.44431933850209504,117.66393221635818,1.0,0,4614144
exact-K2,inverse-Z,16,20,2,0.41945565514205224,0.3064261228149805,0.2617036525454495,70.4445254315708,2.194518419884598,5511680,10125824
occupancy-K2,inverse-E[Z|D],16,20,2,0.44362895818821824,0.31577619516544775,0.2741043656321252,73.66755193012439,1.2855082112738572,1317376,5931520
moments-K2,"inverse-E[Z|D,C2]",16,20,2,0.4418276819630644,0.31513067730686317,0.27403580526067783,73.64138789957097,1.2855082112738572,1317376,5931520
exact-K4,inverse-Z,16,20,4,0.23423500067234668,0.22017681317912416,0.15243356238467973,42.019160600741266,3.4152241455836663,11144192,15758336
occupancy-K4,inverse-E[Z|D],16,20,4,0.29003159452681143,0.24990225823191137,0.18371533758357422,50.19654838739849,1.5972037283621838,2755584,7369728
moments-K4,"inverse-E[Z|D,C2]",16,20,4,0.27817706137684184,0.2435052130258477,0.17695057740579492,48.432683873305336,1.5972037283621838,2755584,7369728
feasible-limit,U|Z>0,16,20,0,0.02530917344854613,0.017390000000000606,0.025309173448487286,6.479148402812745,1.0,0,4614144
