trial,balanced_beta_0,balanced_beta_0.25,balanced_beta_0.5,balanced_beta_1,balanced_beta_2,balanced_beta_4,balanced_beta_8,center_hits,center_success
0,2.938735877055719e-39,1.068056126376622e-36,1.6668546387891294e-35,1.0088470661315233e-36,5.762603268022475e-49,3.760964581520912e-88,1.4612417200288705e-174,0,2.5929497597561806e-39
1,2.938735877055719e-39,8.867517451179386e-38,1.2201732571555689e-37,6.674835848997737e-41,4.266294623965644e-57,3.59119564701452e-104,1.5109986643614072e-206,0,2.5929497597561806e-39
2,2.938735877055719e-39,3.766670281108747e-37,1.61330779317678e-36,4.421199502479683e-39,2.7639049827173647e-54,3.1632153437960608e-99,8.629127962798699e-197,0,2.5929497597561806e-39
3,2.938735877055719e-39,1.215378219550877e-35,1.9692006643795324e-33,1.1656706662724823e-32,7.764539001625378e-41,9.77214677549772e-72,1.1144648215241161e-141,1,5.1909737851870314e-39
