independent_success,pair_success,matching_success,minimum_smc_ess,minimum_smc_unique,smc_acceptance,trial
4.725891886186231e-08,1.3867678165950728e-07,1.0444525136503424e-07,1.0,1.0,1.0,0
7.77776634007769e-08,1.0686377268215014e-07,1.1057712732366459e-07,1.0,1.0,1.0,1
6.650783645824644e-08,9.044118966781426e-08,1.288459784504026e-07,1.0,1.0,1.0,2
1.0489956094208444e-07,1.833890185481616e-07,1.996706786594725e-07,1.0,1.0,1.0,3
4.940109743425127e-08,7.172980483286357e-08,7.58020224698838e-08,1.0,1.0,1.0,4
8.297645550026274e-08,1.1482639859467442e-07,1.3318148399352643e-07,1.0,1.0,1.0,5
5.171243620933511e-08,9.285017729837229e-08,8.680329987849984e-08,1.0,1.0,1.0,6
2.2978565541123572e-07,3.134467788451409e-07,2.51909290691691e-07,1.0,1.0,1.0,7
