trial,balanced_beta_0,balanced_beta_0.25,balanced_beta_0.5,balanced_beta_1,balanced_beta_2,balanced_beta_4,balanced_beta_8,center_hits,center_success
0,5.421010862427522e-20,2.1365486636376607e-19,6.50734578965598e-19,2.8327487575402465e-18,3.264013362305408e-18,8.081010548538695e-22,3.8652783480482307e-36,0,5.2541035426445056e-20
1,5.421010862427522e-20,1.0129179477810569e-19,1.4359840308586312e-19,1.285917337148161e-19,5.294187262030822e-21,1.160740128024784e-27,3.5464873313173844e-48,0,5.2541035426445056e-20
2,5.421010862427522e-20,4.6212335655204045e-20,2.99067727882247e-20,5.590338978756411e-21,1.0115544187136257e-23,4.624586136735429e-33,7.860503488437521e-59,0,5.2541035426445056e-20
3,5.421010862427522e-20,1.3797243149680988e-19,2.6691071607578447e-19,4.475608133303987e-19,6.619312014635433e-20,2.0628675597663996e-25,1.5020732292442154e-43,0,5.2541035426445056e-20
4,5.421010862427522e-20,1.1977008740098362e-19,2.0527834901181667e-19,2.861653148382013e-19,3.5192482647407995e-20,1.095779276881036e-25,8.730799611030464e-44,0,5.2541035426445056e-20
5,5.421010862427522e-20,1.5661257939503086e-19,3.5739178511991783e-19,9.296913485887477e-19,4.712719817417326e-19,3.505608673760947e-23,1.7069610814728068e-38,0,5.2541035426445056e-20
6,5.421010862427522e-20,6.954604300959154e-20,6.924452292099104e-20,3.2626659010977964e-20,4.621002467695422e-22,1.9698836138853006e-29,3.045390267719054e-51,0,5.2541035426445056e-20
7,5.421010862427522e-20,1.3530621135874231e-19,2.5434259176734157e-19,3.9241534301648026e-19,4.5340772631636964e-20,7.647399568493686e-26,1.7797022211138082e-44,0,5.2541035426445056e-20
