trial,reduced_weights,total_reduced_weight,balanced_success_beta_0,balanced_success_beta_0.25,balanced_success_beta_0.5,balanced_success_beta_1,balanced_success_beta_2,balanced_success_beta_4,balanced_success_beta_8,dual_success_beta_0,dual_success_beta_0.25,dual_success_beta_0.5,dual_success_beta_1,dual_success_beta_2,dual_success_beta_4,dual_success_beta_8
0,15 13 15 16,59,1.9358333892227405e-41,1.9138302386559526e-41,1.8919238087751088e-41,1.8484107563565862e-41,1.762648517620865e-41,1.5966530202742816e-41,1.2898670404569034e-41,5.5918494495145555e-42,5.527515963732718e-42,5.4634807856754307e-42,5.336332561241385e-42,5.085906591956429e-42,4.6018638365334004e-42,3.709584082949081e-42
1,15 15 16 14,60,3.198333425672354e-42,3.194542321698802e-42,3.19048951321868e-42,3.181602871743839e-42,3.1607377160313384e-42,3.106950352568785e-42,2.954418732452371e-42,8.393946193531783e-43,8.384146824134293e-43,8.373660087632379e-43,8.350635091058541e-43,8.296462515881216e-43,8.15643353356697e-43,7.758165146154686e-43
2,15 15 15 15,60,3.356764802795442e-42,3.3559141207705146e-42,3.354803629137728e-42,3.351804475921642e-42,3.3427057068960014e-42,3.312254535991966e-42,3.2043023103950145e-42,8.393946193531783e-43,8.391814675509722e-43,8.389034271688256e-43,8.38152997851361e-43,8.358778143809682e-43,8.282672891159396e-43,8.012969014577857e-43
3,15 16 14 16,61,4.8116520563212405e-43,4.791468962986069e-43,4.77091269249072e-43,4.728703040556138e-43,4.640056708148206e-43,4.44720719616759e-43,4.01082142797325e-43,1.244235387094313e-43,1.2388897063536577e-43,1.2334487301939096e-43,1.222286795752766e-43,1.1988854468419447e-43,1.1481273472194674e-43,1.0338050677857263e-43
