selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
leakage,0.0,0,0,0.0,0.0,0.0,128.0,128.0,0.0
leakage,0.25,0,0,0.0,0.0,0.0,127.89206602899333,127.89206602899333,0.10793397100667335
leakage,0.5,0,0,0.0,0.0,0.0,127.84106649058059,127.84106649058059,0.15893350941941264
leakage,1.0,0,0,0.0,0.0,0.0,127.9037100891989,127.9037100891989,0.09628991080110438
leakage,2.0,0,0,0.0,0.0,0.0,128.6189300424607,128.6189300424607,-0.618930042460704
leakage,4.0,0,0,0.0,0.0,0.0,131.91229871460436,131.91229871460436,-3.9122987146043613
leakage,8.0,0,0,0.0,0.0,0.0,144.29148247182889,144.29148247182889,-16.291482471828886
uniform,0.0,0,0,0.0,0.0,0.0,128.0,128.0,0.0
leakage,0.0,0,1,0.0,-16.00002201361136,0.0,128.00140957025468,128.00140957025468,-0.0014095702546796929
leakage,0.25,0,1,0.0,-16.00002201361136,0.0,127.893475599248,127.893475599248,0.10652440075199365
leakage,0.5,0,1,0.0,-16.00002201361136,0.0,127.84247606083527,127.84247606083527,0.15752393916473295
leakage,1.0,0,1,0.0,-16.00002201361136,0.0,127.90511965945356,127.90511965945356,0.0948803405464389
leakage,2.0,0,1,0.0,-16.00002201361136,0.0,128.62033961271536,128.62033961271536,-0.6203396127153553
leakage,4.0,0,1,0.0,-16.00002201361136,0.0,131.91370828485904,131.91370828485904,-3.913708284859041
leakage,8.0,0,1,0.0,-16.00002201361136,0.0,144.29289204208357,144.29289204208357,-16.292892042083565
uniform,0.0,0,1,0.0,-16.00002201361136,0.0,128.00140957025468,128.00140957025468,-0.0014095702546796929
leakage,0.0,0,2,0.0,-32.00004402722272,0.0,128.00281914050933,128.00281914050933,-0.002819140509330964
leakage,0.25,0,2,0.0,-32.00004402722272,0.0,127.89488516950269,127.89488516950269,0.10511483049731396
leakage,0.5,0,2,0.0,-32.00004402722272,0.0,127.84388563108993,127.84388563108993,0.15611436891006747
leakage,1.0,0,2,0.0,-32.00004402722272,0.0,127.90652922970824,127.90652922970824,0.09347077029175921
leakage,2.0,0,2,0.0,-32.00004402722272,0.0,128.62174918297004,128.62174918297004,-0.621749182970035
leakage,4.0,0,2,0.0,-32.00004402722272,0.0,131.9151178551137,131.9151178551137,-3.9151178551136923
leakage,8.0,0,2,0.0,-32.00004402722272,0.0,144.29430161233824,144.29430161233824,-16.294301612338245
uniform,0.0,0,2,0.0,-32.00004402722272,0.0,128.00281914050933,128.00281914050933,-0.002819140509330964
leakage,0.0,0,3,0.0,-48.000066040834085,0.0,128.004228710764,128.004228710764,-0.004228710764010657
leakage,0.25,0,3,0.0,-48.000066040834085,0.0,127.89629473975735,127.89629473975735,0.10370526024264848
leakage,0.5,0,3,0.0,-48.000066040834085,0.0,127.84529520134461,127.84529520134461,0.15470479865538778
leakage,1.0,0,3,0.0,-48.000066040834085,0.0,127.90793879996292,127.90793879996292,0.09206120003707952
leakage,2.0,0,3,0.0,-48.000066040834085,0.0,128.62315875322471,128.62315875322471,-0.6231587532247147
leakage,4.0,0,3,0.0,-48.000066040834085,0.0,131.91652742536837,131.91652742536837,-3.916527425368372
leakage,8.0,0,3,0.0,-48.000066040834085,0.0,144.2957111825929,144.2957111825929,-16.295711182592896
uniform,0.0,0,3,0.0,-48.000066040834085,0.0,128.004228710764,128.004228710764,-0.004228710764010657
leakage,0.0,0,4,0.0,-64.00008805444544,0.0,128.0056382810187,128.0056382810187,-0.00563828101869035
leakage,0.25,0,4,0.0,-64.00008805444544,0.0,127.89770431001202,127.89770431001202,0.102295689987983
leakage,0.5,0,4,0.0,-64.00008805444544,0.0,127.84670477159928,127.84670477159928,0.1532952284007223
leakage,1.0,0,4,0.0,-64.00008805444544,0.0,127.90934837021757,127.90934837021757,0.09065162978242824
