t,w,d,c,output_columns,failure_probability,failure_log2,batch,batch_failure_log2,batch_security_bits,power_of_two_d
16,3,32,2,98,2.9526248738536516e-12,-38.30113906257215,256,-30.301139062572148,30.301139062572148,True
16,3,40,2,122,1.2547263985326697e-13,-42.85769242435011,256,-34.85769242435011,34.85769242435011,False
16,3,48,2,146,9.718922167564018e-15,-46.54812509607724,256,-38.54812509607724,38.54812509607724,False
16,3,50,2,152,5.4947898934155905e-15,-47.37085710601629,256,-39.37085710601629,39.37085710601629,False
16,3,52,2,158,3.1793902320635668e-15,-48.160171322433285,256,-40.160171322433285,40.160171322433285,False
16,3,56,2,170,1.1331048383432035e-15,-49.64864007339599,256,-41.64864007339599,41.64864007339599,False
16,3,64,2,194,1.7769500875327083e-16,-52.32144635989274,256,-44.32144635989274,44.32144635989274,True
16,3,74,2,224,2.3912439476872078e-17,-55.215016296015165,256,-47.215016296015165,47.215016296015165,False
16,3,128,2,386,1.323420433886292e-20,-66.03429043739695,256,-58.03429043739695,58.03429043739695,True
