trial,balanced_beta_0,balanced_beta_0.25,balanced_beta_0.5,balanced_beta_1,balanced_beta_2,balanced_beta_4,balanced_beta_8,center_hits,center_success
0,2.938735877055719e-39,2.6221849163310934e-39,2.2573431101069278e-39,1.5019621207331868e-39,4.31984106346454e-40,6.496571710181759e-42,2.6167518668501545e-48,0,2.8040810819746297e-39
1,2.938735877055719e-39,4.018491782676543e-39,5.297284951540214e-39,8.248820454061853e-39,1.293553615009018e-38,5.8155147662705404e-39,2.458209042366447e-42,0,2.8040810819746297e-39
2,2.938735877055719e-39,3.224246345931175e-39,3.412668734834016e-39,3.4331937996840576e-39,2.2654649018772258e-39,1.8598436594953546e-40,2.958170821758816e-45,1,1.1224547439575863e-38
3,2.938735877055719e-39,3.4485044910571194e-39,3.906316181199561e-39,4.5095014005045816e-39,3.9481741904363323e-39,5.871597929210759e-40,3.2705023054439128e-44,0,2.8040810819746297e-39
4,2.938735877055719e-39,3.574051664268728e-39,4.180808396733728e-39,5.090214177317108e-39,4.735675320353904e-39,6.59394759546515e-40,1.6443373826223798e-44,0,2.8040810819746297e-39
5,2.938735877055719e-39,3.2519566055385447e-39,3.468637203670899e-39,3.535183538832277e-39,2.3735002898518247e-39,1.96207776543485e-40,2.9488152700217125e-45,0,2.8040810819746297e-39
