selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
leakage,0.0,0,0,0.0,0.0,0.0,128.0,128.0,0.0
leakage,0.25,0,0,0.0,0.0,0.0,127.49590645848451,127.49590645848451,0.5040935415154877
leakage,0.5,0,0,0.0,0.0,0.0,127.18276781123006,127.18276781123006,0.8172321887699354
leakage,1.0,0,0,0.0,0.0,0.0,127.12298832320877,127.12298832320877,0.877011676791227
leakage,2.0,0,0,0.0,0.0,0.0,128.98016087383152,128.98016087383152,-0.9801608738315224
leakage,4.0,0,0,0.0,0.0,0.0,138.63618638957902,138.63618638957902,-10.636186389579024
leakage,8.0,0,0,0.0,0.0,0.0,175.3537827036,175.3537827036,-47.35378270359999
uniform,0.0,0,0,0.0,0.0,0.0,128.0,128.0,0.0
leakage,0.0,0,1,0.0,-16.00002201361136,0.0,128.00140957025468,128.00140957025468,-0.0014095702546796929
leakage,0.25,0,1,0.0,-16.00002201361136,0.0,127.49731602873918,127.49731602873918,0.5026839712608222
leakage,0.5,0,1,0.0,-16.00002201361136,0.0,127.18417738148473,127.18417738148473,0.8158226185152699
leakage,1.0,0,1,0.0,-16.00002201361136,0.0,127.12439789346344,127.12439789346344,0.8756021065365616
leakage,2.0,0,1,0.0,-16.00002201361136,0.0,128.9815704440862,128.9815704440862,-0.9815704440862021
leakage,4.0,0,1,0.0,-16.00002201361136,0.0,138.6375959598337,138.6375959598337,-10.637595959833703
leakage,8.0,0,1,0.0,-16.00002201361136,0.0,175.35519227385464,175.35519227385464,-47.35519227385464
uniform,0.0,0,1,0.0,-16.00002201361136,0.0,128.00140957025468,128.00140957025468,-0.0014095702546796929
leakage,0.0,0,2,0.0,-32.00004402722272,0.0,128.00281914050933,128.00281914050933,-0.002819140509330964
leakage,0.25,0,2,0.0,-32.00004402722272,0.0,127.49872559899384,127.49872559899384,0.5012744010061567
leakage,0.5,0,2,0.0,-32.00004402722272,0.0,127.18558695173941,127.18558695173941,0.8144130482605902
leakage,1.0,0,2,0.0,-32.00004402722272,0.0,127.12580746371812,127.12580746371812,0.8741925362818819
leakage,2.0,0,2,0.0,-32.00004402722272,0.0,128.98298001434085,128.98298001434085,-0.9829800143408534
leakage,4.0,0,2,0.0,-32.00004402722272,0.0,138.63900553008838,138.63900553008838,-10.639005530088383
leakage,8.0,0,2,0.0,-32.00004402722272,0.0,175.35660184410932,175.35660184410932,-47.35660184410932
uniform,0.0,0,2,0.0,-32.00004402722272,0.0,128.00281914050933,128.00281914050933,-0.002819140509330964
leakage,0.0,0,3,0.0,-48.000066040834085,0.0,128.004228710764,128.004228710764,-0.004228710764010657
leakage,0.25,0,3,0.0,-48.000066040834085,0.0,127.50013516924852,127.50013516924852,0.49986483075147703
leakage,0.5,0,3,0.0,-48.000066040834085,0.0,127.18699652199408,127.18699652199408,0.8130034780059248
leakage,1.0,0,3,0.0,-48.000066040834085,0.0,127.12721703397278,127.12721703397278,0.8727829660272164
leakage,2.0,0,3,0.0,-48.000066040834085,0.0,128.98438958459553,128.98438958459553,-0.984389584595533
leakage,4.0,0,3,0.0,-48.000066040834085,0.0,138.64041510034303,138.64041510034303,-10.640415100343034
leakage,8.0,0,3,0.0,-48.000066040834085,0.0,175.358011414364,175.358011414364,-47.358011414364
uniform,0.0,0,3,0.0,-48.000066040834085,0.0,128.004228710764,128.004228710764,-0.004228710764010657
leakage,0.0,0,4,0.0,-64.00008805444544,0.0,128.0056382810187,128.0056382810187,-0.00563828101869035
leakage,0.25,0,4,0.0,-64.00008805444544,0.0,127.50154473950319,127.50154473950319,0.49845526049681155
leakage,0.5,0,4,0.0,-64.00008805444544,0.0,127.18840609224874,127.18840609224874,0.8115939077512593
leakage,1.0,0,4,0.0,-64.00008805444544,0.0,127.12862660422745,127.12862660422745,0.8713733957725509
leakage,2.0,0,4,0.0,-64.00008805444544,0.0,128.9857991548502,128.9857991548502,-0.9857991548502127
leakage,4.0,0,4,0.0,-64.00008805444544,0.0,138.6418246705977,138.6418246705977,-10.641824670597714
leakage,8.0,0,4,0.0,-64.00008805444544,0.0,175.35942098461865,175.35942098461865,-47.35942098461865
uniform,0.0,0,4,0.0,-64.00008805444544,0.0,128.0056382810187,128.0056382810187,-0.00563828101869035
leakage,0.0,0,5,0.0,-80.0001100680568,0.0,128.00704785127337,128.00704785127337,-0.007047851273370043
leakage,0.25,0,5,0.0,-80.0001100680568,0.0,127.50295430975787,127.50295430975787,0.49704569024213185
leakage,0.5,0,5,0.0,-80.0001100680568,0.0,127.18981566250342,127.18981566250342,0.8101843374965796
leakage,1.0,0,5,0.0,-80.0001100680568,0.0,127.13003617448213,127.13003617448213,0.8699638255178712
leakage,2.0,0,5,0.0,-80.0001100680568,0.0,128.9872087251049,128.9872087251049,-0.9872087251048924
leakage,4.0,0,5,0.0,-80.0001100680568,0.0,138.6432342408524,138.6432342408524,-10.643234240852394
leakage,8.0,0,5,0.0,-80.0001100680568,0.0,175.36083055487333,175.36083055487333,-47.36083055487333
