trial,sample,selector,rank,deficiency,full_rank
34,1,uniform,512,0,1
34,1,stratified_beta_0,512,0,1
34,1,guided,512,0,1
35,0,uniform,512,0,1
35,0,stratified_beta_0,512,0,1
35,0,guided,512,0,1
35,1,uniform,512,0,1
35,1,stratified_beta_0,512,0,1
35,1,guided,512,0,1
36,0,uniform,512,0,1
36,0,stratified_beta_0,512,0,1
36,0,guided,512,0,1
36,1,uniform,512,0,1
36,1,stratified_beta_0,512,0,1
36,1,guided,512,0,1
37,0,uniform,512,0,1
37,0,stratified_beta_0,512,0,1
37,0,guided,512,0,1
37,1,uniform,512,0,1
37,1,stratified_beta_0,512,0,1
37,1,guided,512,0,1
38,0,uniform,512,0,1
38,0,stratified_beta_0,512,0,1
38,0,guided,512,0,1
38,1,uniform,512,0,1
38,1,stratified_beta_0,512,0,1
38,1,guided,512,0,1
39,0,uniform,512,0,1
39,0,stratified_beta_0,512,0,1
39,0,guided,512,0,1
39,1,uniform,512,0,1
39,1,stratified_beta_0,512,0,1
39,1,guided,512,0,1
40,0,uniform,512,0,1
40,0,stratified_beta_0,512,0,1
40,0,guided,512,0,1
40,1,uniform,512,0,1
40,1,stratified_beta_0,512,0,1
40,1,guided,512,0,1
41,0,uniform,512,0,1
41,0,stratified_beta_0,512,0,1
41,0,guided,512,0,1
41,1,uniform,512,0,1
41,1,stratified_beta_0,512,0,1
41,1,guided,512,0,1
42,0,uniform,512,0,1
42,0,stratified_beta_0,512,0,1
42,0,guided,512,0,1
42,1,uniform,512,0,1
42,1,stratified_beta_0,512,0,1
42,1,guided,512,0,1
43,0,uniform,512,0,1
43,0,stratified_beta_0,512,0,1
43,0,guided,512,0,1
43,1,uniform,512,0,1
43,1,stratified_beta_0,512,0,1
43,1,guided,512,0,1
44,0,uniform,512,0,1
44,0,stratified_beta_0,512,0,1
44,0,guided,512,0,1
44,1,uniform,512,0,1
44,1,stratified_beta_0,512,0,1
44,1,guided,512,0,1
45,0,uniform,512,0,1
45,0,stratified_beta_0,512,0,1
45,0,guided,512,0,1
45,1,uniform,512,0,1
45,1,stratified_beta_0,512,0,1
45,1,guided,512,0,1
46,0,uniform,512,0,1
46,0,stratified_beta_0,512,0,1
46,0,guided,512,0,1
46,1,uniform,512,0,1
46,1,stratified_beta_0,512,0,1
46,1,guided,512,0,1
47,0,uniform,512,0,1
47,0,stratified_beta_0,512,0,1
47,0,guided,512,0,1
47,1,uniform,512,0,1
47,1,stratified_beta_0,512,0,1
47,1,guided,512,0,1
48,0,uniform,512,0,1
48,0,stratified_beta_0,512,0,1
48,0,guided,512,0,1
48,1,uniform,512,0,1
48,1,stratified_beta_0,512,0,1
48,1,guided,512,0,1
49,0,uniform,512,0,1
49,0,stratified_beta_0,512,0,1
49,0,guided,512,0,1
49,1,uniform,512,0,1
49,1,stratified_beta_0,512,0,1
49,1,guided,512,0,1
